Time	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D02	D03	D04
0.0	5646	5659	5032	5355	5175	5744	5733	5411	5835	5486	5342	5021	5281	5050	5242	5369	5046	5698	6495	5601	5769	5375	5357	5181	5188
0.06111111111111111	5844	5856	4818	5237	5269	5621	5759	5237	5737	5042	5153	4998	5584	4934	5451	5409	4981	5260	6327	5451	5632	5505	5424	5146	5179
0.12222222222222222	5611	5839	4815	5172	5149	5406	5670	5101	5406	5146	5208	4879	5476	4794	5416	5266	4915	5202	6223	5505	5620	5454	5439	5088	4963
0.18333333333333332	5593	5739	4710	5152	5058	5429	5688	5003	5367	5151	5156	4705	5330	4801	5118	5238	4880	5209	6201	5479	5501	5446	5416	5113	5011
0.24444444444444444	5693	5482	4709	5157	5135	5457	5555	4983	5401	4923	5444	4734	5422	4843	5073	5231	4923	4962	6044	5506	5512	5761	5251	5201	5114
0.3055555555555556	5624	5522	4725	5113	5066	5479	5544	4902	5341	5086	5500	4857	5292	4833	5228	5288	4893	4911	6147	5543	5502	5793	5353	5163	5052
0.36666666666666664	5455	5406	4826	5004	5111	5445	5665	4905	5313	5213	5601	4822	5233	4915	5159	5247	5072	5125	6024	5548	5447	5837	5328	5008	5030
0.42777777777777776	5740	5354	4768	5016	5120	5491	5754	4950	5366	5111	5553	4730	5293	4796	5042	5175	4868	5138	5955	5528	5649	5586	5252	5125	5106
0.4888888888888889	5665	5504	4763	5052	5066	5641	5694	5097	5401	5248	5572	4796	5304	4893	5070	5277	4895	5182	6028	5782	5773	5862	5037	5308	5091
0.55	5727	5663	4868	5159	5082	5509	5907	5022	5717	5297	5704	4801	5281	4629	5131	5386	4825	4772	6160	5630	5765	6084	5059	5340	5081
0.6111111111111112	5700	5732	4790	5236	5207	5647	5887	5202	5539	5284	5676	4865	5386	4701	5320	5445	4872	5014	5964	5767	5933	6094	5130	5278	5195
0.6722222222222223	5780	5839	4860	5287	5265	5713	5867	5057	5889	5405	5845	4862	5460	4887	5284	5528	4944	5102	6063	5831	6095	6206	5295	5305	5230
0.7333333333333333	5819	5647	4870	5299	5321	5672	6043	5140	5834	5315	5735	4888	5491	4833	5319	5625	5011	5277	6123	5796	5921	6184	5328	5449	5225
0.7944444444444444	5891	5771	4872	5327	5443	5828	5999	5092	5874	5758	6214	4843	5586	4889	5247	5644	5070	5286	6173	6039	5894	6211	5229	5489	5239
0.8555555555555555	5632	5733	4849	5363	5350	5702	6089	5365	5842	5539	5848	4854	5463	4930	5359	5656	5023	5361	6210	5786	5681	6301	5308	5435	5195
