Time	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12
0.216667	78801	45609	30750	21381	17904	15766	15236	15028	15022	14036	14292	95570	76888	45410	29541	21986	17797	16844	15287	14959	15222	14550	14078	105497	75127	46222	30779	21488	17952	16322	15213	14851	14599	14228	14474	94673	74637	45371	29149	21684	17551	18095	14339	14900	14643	14424	14857	92275	73778	44688	29238	21704	17867	15829	15325	15775	15253	14891	14425	99566	72451	44497	28558	20919	18155	15227	15467	15270	15007	14878	15225	76286
0.233333	79643	45417	30541	21109	18317	16219	15250	14739	14516	14342	14425	92608	77099	44841	28926	22255	17623	16160	15379	14989	15292	14567	13951	104488	76072	47112	30285	22099	17605	16226	15239	14996	14661	14707	14494	96580	74649	45884	29301	21367	17575	18511	14221	14689	14782	14625	15219	91068	73075	44831	29725	21547	18241	16055	15472	15731	14958	15453	14391	97072	71894	44661	28810	21047	18016	15549	15639	15212	14725	14672	14508	78869
0.250000	78341	45346	30276	21251	18369	16071	14866	15003	15049	14558	14344	94160	76746	45402	29538	22077	17600	17330	15325	14451	14860	14367	14240	101375	76747	46098	30541	22224	17888	16450	15246	14689	14709	14532	14695	95346	74915	45282	29581	21592	17384	17692	14458	14706	14638	14203	14892	92931	72731	44247	29903	21724	17916	16274	15191	15553	15166	15426	14641	95463	71381	44164	28836	20831	18088	15488	15383	15587	14962	14519	14885	76035
0.266667	79374	46087	30504	21305	18013	15673	15115	14942	14757	13973	14484	95202	76796	45435	29560	22376	17508	16672	15735	14125	15362	14790	14006	106328	75482	46296	30884	22018	17695	15924	15005	14663	14457	14510	14877	101199	75397	46247	28877	21490	17298	18572	14369	14784	14848	14194	14917	89253	74347	45226	29652	21276	18116	16156	15298	15927	15126	15080	14957	96532	71671	44444	29124	21294	17564	15732	15152	15258	15000	14825	15104	77285
0.283333	78833	44978	30363	21248	18746	15941	15114	15058	14980	14058	14573	93646	76944	45495	29593	21858	17756	16591	15616	14650	15295	14513	14328	102973	76840	46897	30620	22136	17600	16200	14844	14872	14658	14340	14722	93952	75637	45624	29569	21555	17222	18262	13884	15104	14417	14049	15006	90863	72861	45058	29522	21448	18120	16306	15203	15777	14931	15158	14827	97353	71030	44974	28692	21026	17931	15237	15714	15104	15053	14302	15000	78157
0.300000	78869	46001	31256	21441	18201	15831	14821	14909	14741	14043	14070	91626	75464	45218	29271	21849	17574	16298	15125	14831	15399	14510	13969	105692	76051	47243	30393	21991	17563	15864	15220	14743	15020	14525	14874	96566	74849	45798	29536	21417	17588	18224	14293	14780	14692	14754	14840	90220	72753	44062	30043	21945	17860	16000	15373	15369	14857	15264	14657	94239	71609	44848	29378	21071	18087	15407	15580	15206	15076	14663	15041	80303
0.316667	78359	45656	30309	21280	18228	16114	14960	15048	14717	14098	14646	92587	76997	45423	29636	22839	17474	16252	15756	14873	15145	14688	14142	105535	76397	46478	30181	21962	17966	16224	15217	14862	14763	14683	14851	92991	75002	45417	29589	21081	17791	18216	13881	14709	14442	14462	14905	87301	73683	44677	29452	21672	18072	16265	15069	15863	14875	15392	14673	102292	71415	44744	29043	20973	18084	15667	15761	15358	15288	15006	15261	78778
0.333333	78469	45655	30457	21452	18167	15919	15085	15060	14882	14529	14302	92530	76354	45776	29068	21986	17151	16277	15705	14618	15104	14421	14043	103459	77035	47299	30378	21909	17845	16222	15244	14769	14803	14446	14469	96186	75947	45365	29329	21375	18040	18075	14299	14972	14466	14319	15014	90480	74154	44010	30219	21524	17905	15594	15370	15991	14739	15462	14930	93876	71849	44933	29435	20916	18032	15431	15626	15389	15382	15019	14879	77269
0.350000	79414	45562	30256	21270	18375	16149	14930	14962	14797	14023	14104	91784	78257	45392	29687	22110	17773	16655	15333	14677	15039	14541	13920	108911	76559	46048	30649	21901	17675	16685	15220	14897	14657	14296	14778	92798	75192	45005	29508	21661	17918	18150	14161	14668	14947	14446	15036	91549	73677	44757	29610	22236	18012	15823	15033	15675	15114	15266	14439	97704	72243	44192	29323	21037	17918	15292	15729	15439	14663	14959	15176	78936
0.366667	79594	46202	30275	21522	18057	16107	14772	14974	15024	14169	14453	92149	76654	45132	29672	22383	17294	16993	15661	14150	15372	14560	14054	109166	75489	46608	30268	21746	17733	16076	15375	14900	14853	15009	14729	94231	75039	45441	29820	21547	17677	18284	14312	14155	14368	14096	15056	88637	73854	44010	29566	21480	17923	15855	15303	15821	14579	14897	15201	97379	72473	44392	29093	20997	17895	15271	15783	15478	14409	14960	15084	79462
0.383333	80432	46160	30705	20969	18220	16355	14898	15072	15331	14070	14337	93370	77167	45841	29584	22012	17743	16688	15513	14658	15352	14855	14110	103010	75957	46642	30822	21821	17414	16000	15446	14776	14746	14646	14224	94638	74958	44848	28936	21463	17594	18195	14059	15172	14966	14383	14819	89128	73682	44741	29695	21427	17992	15937	15135	15764	15149	15175	15174	99650	71516	44591	29258	21199	17820	15436	15428	14930	15046	14909	14956	77999
0.400000	79322	46229	30519	21408	18125	15980	14927	15117	14933	14152	14304	93862	76415	46126	29826	22016	17448	16690	15263	14655	14856	14713	14091	105048	76437	46645	30892	21598	18051	16056	15303	14852	14547	14439	14269	95815	74687	45813	29903	21115	17628	18263	14140	15062	14779	14362	15120	94493	72787	44801	29250	21523	18395	15762	15181	15861	14959	15162	14775	96369	71614	44855	28590	20992	18159	15501	15868	15469	15211	14927	14696	75445
0.416667	78534	45667	30511	21165	18350	15987	15051	15073	14916	14315	14416	93816	76256	45379	29316	22571	17759	16663	15355	14537	15233	14655	14154	104131	76452	47170	30864	22316	17580	16243	15067	14534	14518	14763	14587	93913	75494	45578	29414	21280	17872	18085	14351	14870	14811	14120	14782	90084	73503	44910	29601	21857	18147	16348	15301	15955	15152	15658	14753	100583	71641	44163	29161	20872	17425	15649	15290	15456	14730	14594	14908	79979
0.433333	78833	45330	30341	21364	18344	16010	15010	15101	14998	14077	14441	93254	75868	45647	29914	22367	17325	16434	15436	14646	15059	14572	14304	102334	75865	46808	31437	21886	17696	16393	15164	14831	14340	14345	14512	93458	76093	45741	29312	21547	17774	18127	14006	14661	14558	14668	14740	89544	73222	44850	30117	21701	17983	16133	15286	15741	14966	15057	14761	92139	71705	44135	28898	20859	17992	15374	15694	15380	15163	14557	15150	75953
0.450000	78832	45639	30285	21347	18368	15914	14985	15048	14824	14021	14289	96777	76147	45869	29598	21998	17465	16823	15610	14216	15076	14669	14481	103182	76147	46747	30425	22112	17935	16075	15350	14694	14518	14651	14739	92570	75192	45154	29084	21404	17732	18137	14289	14873	15126	14684	14864	88616	73638	44255	29488	21511	18079	16176	15181	15845	14919	15370	14673	100631	71659	43537	28796	20816	18208	15456	15718	15147	14600	14707	15067	76613
0.466667	79281	45656	30661	21379	18148	16071	15196	14740	14820	14440	14577	95146	77014	45350	29713	22161	17479	16407	15744	14381	15391	14616	13984	104661	75096	46777	30668	21917	17836	16042	15437	14802	14946	14701	14739	96451	75774	46060	28986	21303	17533	18134	14421	14630	14973	14553	15145	89080	73387	45099	29513	21754	18111	15811	15176	15789	15003	15060	14689	94820	73001	43872	29108	21272	17787	15219	15294	15232	15154	14742	15101	81516
0.483333	79044	46412	31202	21544	18460	16122	15088	15295	15119	14186	14392	91783	76481	45812	29993	22259	17527	16867	15634	14640	15343	14737	14169	102901	76359	46702	30473	22019	17683	16161	15182	14742	14953	14157	14935	92846	76037	45058	29660	21301	17452	18120	14002	14341	14553	14517	15071	88286	73258	44371	29863	21793	18237	16190	15057	15564	15045	15212	14791	97751	71870	43354	28951	21032	17849	15529	15451	15258	15023	15090	14899	74410
0.500000	79411	45638	30994	21296	18443	16300	15158	15100	14421	14090	13904	96660	76968	45769	29572	22003	17679	16626	15454	14780	15191	14668	13853	106774	75777	45807	30573	21651	18037	16245	15166	14714	14577	14525	14317	95674	76356	46407	29063	21271	17559	18342	14257	14683	14710	14844	15135	89298	73376	44294	29887	21708	17959	15614	14981	15969	14889	14988	14645	92177	71631	43617	29168	20951	17677	15326	15503	14911	14973	14700	14542	78915
0.516667	78425	45961	30773	21267	18343	16023	15225	14765	14845	14435	14480	92226	76378	45805	29400	21952	17598	16578	15743	14912	15126	14690	14046	107045	76362	46505	30735	22021	17680	15890	15141	14521	14732	14096	14675	95304	75501	44998	28776	21574	17622	17864	14334	14466	15011	14211	14880	88673	72906	44523	29381	22031	18182	16078	15452	15837	14740	15331	14593	95481	72161	43279	28914	21368	17958	15361	15335	15185	14585	14983	14752	83063
