Time	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03
0.250000	7400	7336	7867	6620	6828	7080	7981	8205	8352	9313	10432	9313	8296	8133	7932	9399	9349	10174	9112	9700	8576	8831	8437	9160	9271	8840	9328	9237	9598	9284	10238	10032	10060	9513	9134	9549	11975	9030	9305	8558	8520	9075	8732	9369	9677	11083	11100	11352	9024	8703	8772	8400	8624	8559	9208	9533	10223	10262	10640	11563	14861	25180	12458
0.266667	7369	7476	7819	6598	7156	7319	8217	8467	8733	9555	10493	9901	8639	8688	8312	9589	9740	10064	9620	9880	8667	9127	9161	9472	9672	9244	9608	9457	9807	9580	10137	10282	10216	9985	9328	9956	12842	9452	9480	8720	9219	9467	9246	9761	10284	11062	11291	11772	9119	8659	9039	8736	8768	8846	9693	10229	10876	10768	11204	12522	18033	31396	14445
0.283333	7641	7436	8110	7024	7369	7310	8613	8691	9137	9740	11073	10412	9126	9216	8720	9401	9670	10294	9598	9921	8844	9423	9497	9773	10268	9812	10075	10044	10397	9992	10622	10084	10612	9680	9635	10310	13685	9749	9672	9500	9342	9627	9942	10576	10894	11386	11455	11819	9253	9018	9335	9018	8924	9228	10167	10601	11208	11499	11966	14061	22520	34551	17494
0.300000	7731	7639	8216	6932	7263	7691	8800	9092	9500	10401	11400	10436	9911	9476	9248	9929	9996	10421	9915	10535	9158	9851	9850	10484	11026	10392	10504	10644	11248	10509	10924	10598	10763	10179	9578	10551	14330	10153	10097	9690	9909	9889	10068	11084	11459	11460	11846	12236	9399	9328	9542	9626	9508	9500	10680	11242	12011	12070	12673	16432	28030	35604	22532
0.316667	7716	7864	8360	7286	7541	7732	9075	9414	9538	10524	11904	11016	10290	10009	9740	9876	10130	10679	10015	10568	9371	10540	10149	10780	11240	10737	11081	11040	12448	11379	10693	10641	10801	10672	10228	11133	15179	10651	10376	10302	10276	10387	10754	11752	12263	11896	12242	12268	9627	9629	9827	9814	9964	10027	11064	11620	12384	12646	13627	20915	31948	34769	29606
0.333333	8061	8072	8626	7292	7745	7777	9472	9688	9803	11169	12494	11632	10680	10683	10151	10115	10328	10950	10573	11091	9389	10938	10560	11397	11876	11272	11456	11755	13199	11916	11171	11188	11391	10895	10449	11545	16115	10984	10784	10620	10616	11048	11643	12586	12821	11871	12474	12655	10223	9756	9964	10349	10412	10448	11739	12119	12981	13741	15241	26408	34937	35400	35048
0.350000	8181	8102	8733	7463	7808	8042	9592	9971	10248	11352	12667	12032	11268	11216	10594	10556	10697	11241	11002	11184	9598	11279	11230	11814	12506	12160	12012	12780	14913	13023	11364	11023	11275	11294	10700	11979	16545	11390	11616	11057	11160	11489	12321	13013	14236	12162	12891	13131	10395	10183	10333	10732	10763	10880	11987	12892	13556	15252	18519	29792	36008	34620	38040
0.366667	8330	8316	8844	7640	8038	8217	10078	10433	10490	11950	13325	12460	11646	11711	11398	10591	10666	11492	11025	11742	10102	11815	11668	12356	13085	13051	12546	13665	16956	13740	11627	11358	11739	11537	11333	12583	17466	11960	11898	11687	11884	12143	13227	14284	15292	12525	13282	13428	10696	10458	10908	11076	11316	11448	12936	13365	14260	17304	23027	31690	36086	34823	39716
0.383333	8516	8284	9335	7980	8313	8774	10597	10780	10739	12619	13756	12826	12425	12353	11887	11039	10844	11684	11752	11993	9969	12555	11768	12922	13932	13718	13031	14568	19843	15211	11897	11861	12240	12000	11511	12914	18200	12461	12496	12037	12370	12586	13948	15492	17168	12733	13412	13829	11329	10912	11144	11820	11928	11935	13517	14008	14966	20040	27564	31791	36020	34492	39289
0.400000	8504	8555	9229	8096	8520	8745	10576	11129	11296	12880	14565	13560	13074	13067	12467	11253	11107	12029	12006	12397	10589	13016	12421	13311	14624	14940	13893	16068	23132	16737	12367	12010	12188	12424	11940	13452	19270	13120	13608	12832	12791	13440	15136	17217	20127	13040	14096	14310	11688	11396	11263	12313	12296	12320	14060	14808	15827	23823	30799	31888	36246	34572	38411
0.416667	8701	8783	9449	8224	8868	9000	11078	11630	11827	13056	15020	14107	13867	13724	13179	11426	11407	12667	12281	12688	10766	13500	13263	14332	15585	16421	14686	18269	26564	19526	12607	12477	12484	12904	12399	14157	19640	13972	14687	13296	13676	13852	16542	18771	24055	13244	14415	14432	11968	12299	11720	12978	12990	13032	15111	15697	16597	27532	32773	31676	35752	35132	39035
