Time	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03
3.066667	38400	45311	46591	40540	42475	41027	47933	47138	46246	48593	51475	47828	36688	36950	36524	36838	36428	37286	37972	38740	32958	34966	36244	34329	34784	35190	37170	27642	27467	27757	38584	40430	40356	40747	43945	31133	23984	39941	40442	40100	34242	38632	27825	28776	28540	48982	51080	41529	37865	37855	37648	39558	38122	37612	39068	37840	39632	27931	28396	26934	31107	28400	33520
3.083333	39156	45786	46776	40537	42013	41048	48128	46673	46781	48656	51596	48105	36188	36920	36420	36533	36420	37705	37482	37545	32436	34713	36441	34610	34682	35609	36624	28236	27234	27877	38948	40468	40031	41280	43575	31504	24119	39872	40680	39808	33713	37968	27866	28320	28818	48166	51470	41765	37603	37904	37468	39346	38692	37368	38880	37669	39181	27648	28301	26937	31331	28453	33852
3.100000	39266	45703	47156	40528	42608	41537	48104	46340	46273	48776	50880	48722	36815	36958	36480	36633	36284	37759	37504	37868	33183	34972	36511	33664	34610	35690	37277	28258	27243	27669	38896	40362	40365	40916	43584	30968	23702	39800	40513	39991	34320	38480	27827	28427	28300	48244	51408	42304	37863	37073	37977	39524	38819	37638	38967	38105	40024	27856	28026	26727	31560	28850	33652
3.116667	38764	46466	47328	40835	42411	40918	48052	47359	46470	48769	51193	48424	36970	36617	36501	36360	35954	37377	37104	37661	32712	34943	36848	34284	34518	35683	36660	27898	27309	27999	38122	40344	40829	40979	43328	31322	23829	39289	40317	39512	33534	38258	27923	28312	28448	49135	51599	41816	38078	37611	38095	39396	38377	37056	38250	37927	39228	27732	28268	26723	31332	28838	33814
3.133333	39726	47164	46834	41008	42804	41627	49063	47349	46382	48986	50928	48199	36634	36983	36274	37216	36037	37340	37662	38024	33022	34532	36218	33341	34012	35312	37231	28001	26860	27843	38629	40272	40209	40983	43628	31655	23887	39273	40764	39531	33819	38337	28229	28619	28186	48653	51570	41757	37831	37141	38080	39646	38668	37691	38423	37771	39073	27762	28098	26945	30878	28500	33248
3.150000	39787	46909	46408	40836	42656	41413	48068	47320	45880	48415	51435	48216	36426	37359	36774	36517	36668	37406	38038	38286	33305	34620	36559	33950	34119	35527	36883	27982	27110	27972	38625	40257	40828	40804	43364	31360	23968	39904	40548	40273	33420	38288	27274	28776	28784	48818	51860	41568	37300	37565	38128	39250	38776	38097	38852	37973	39592	28015	27936	27030	31025	29059	33693
3.166667	39928	46607	47138	41100	42684	41728	48464	46740	46783	48441	51346	48746	36121	36416	36213	36760	35984	37473	37598	38249	33100	34671	36811	34247	34685	35538	36615	28174	27308	27697	38308	40221	40474	40691	43626	30772	24068	39568	40224	40074	33347	38372	28009	28138	28856	49222	51919	41626	37612	37712	38165	39012	38607	37519	39029	38038	39492	27760	27962	26893	31753	28625	33528
3.183333	39844	47038	47312	41030	42728	41729	48840	46613	46361	48720	50909	48091	36468	36841	36824	36224	35993	37632	38020	37943	32825	35040	36577	34196	34694	35428	37163	28016	27015	28015	38626	40415	40364	41136	43547	31258	24250	40367	40334	39932	33641	38359	27517	28516	28534	49700	51467	41716	37765	37405	37834	39152	38496	37083	39121	37903	39495	28066	28534	26518	31880	28450	33499
3.200000	39978	47533	47274	40756	43431	42092	48042	46846	47000	48644	51006	48340	36480	37081	36489	36471	36468	37129	37560	38205	32631	34388	35901	34211	33388	35827	37055	27878	26992	28004	38671	40184	40488	40808	44060	31440	23869	40108	40546	39541	33732	38760	27702	28920	28876	48896	51046	41544	37584	36965	38129	39630	38828	37325	38622	37628	39900	27788	28134	26724	31314	28672	33576
3.216667	40272	47003	47802	40581	42599	41581	48902	46794	46616	48764	51506	48708	36675	37559	36115	36904	35924	37866	38085	37908	32751	34936	36608	34232	34935	35696	36918	27615	26932	28349	38005	40225	40588	41505	43084	31041	24153	39997	40532	39869	33377	38701	27655	28388	28133	49244	51273	41424	37808	37544	38061	39348	38221	37276	39373	37606	39449	27632	27886	26912	31344	28593	33534
3.233333	39324	47544	47443	41254	42836	41518	48573	47320	46588	48665	51586	48800	36300	37083	36352	37000	36065	37683	37524	38107	32623	34364	36216	34070	34570	36000	37018	28170	27078	27890	38080	40630	40420	40882	43571	31581	24220	39992	40734	39849	33772	38306	27844	28753	28744	49433	51827	41809	37770	37596	37992	39812	38628	37999	38642	38036	40061	28067	27816	27130	31161	28659	34063
3.250000	39631	47314	47695	41199	42004	42278	48412	46598	46468	48895	50991	48326	36560	37423	36227	36382	35891	37723	38175	37984	32544	34776	36536	33775	34788	36069	37559	27968	26863	27789	38425	39808	40182	40848	43966	31139	23488	40196	40432	39887	33944	38031	28018	28572	28480	48959	51576	42228	37653	37753	37638	39168	38474	37716	39102	37826	39628	27881	27575	26551	31499	28336	33743
3.266667	39960	48340	47628	41164	42917	41658	48576	47172	46292	48621	51396	48324	36696	37130	36088	36433	36144	37484	37759	37878	33128	34209	36618	34044	34640	35720	36907	27900	27318	27788	38322	40484	40552	41143	43595	31013	23816	39576	40689	40381	33760	38707	27810	28834	28562	49311	51626	41443	36897	37712	37664	39355	38364	37270	39100	37744	39352	27856	28164	26821	31001	28607	33524
3.283333	39625	48398	48336	41550	42768	41616	48428	47232	46720	48790	51692	48836	36400	36973	36664	36513	36090	37879	37803	37900	32464	34699	36769	33724	34684	35885	37010	27971	27229	28050	38436	40431	40372	41097	43920	30915	24062	39866	40431	39909	34165	37736	27908	28800	28760	48812	51484	41893	37338	37348	37542	38860	38424	37352	38306	37811	39489	27951	28142	26792	31408	28711	33764
3.300000	40286	48393	47760	41668	43079	42249	48731	46902	47151	49396	50890	48036	36217	36911	36470	36519	36216	37358	37800	37884	32404	34122	36917	33594	34835	35524	36709	28168	27105	27852	38036	40124	40282	40584	43612	30724	23954	39551	40424	39644	33986	38707	27576	28796	28764	49010	51501	42128	37217	37512	38018	39251	38488	37420	38404	37415	40827	27567	27970	26669	31320	28675	34228
3.316667	40480	48556	47907	41198	43266	42017	48805	47420	46852	49029	52158	48702	36524	36993	36228	36864	36337	37666	37775	37857	32593	34612	36859	34085	34415	35735	37097	28119	27194	27989	37981	40378	40445	40399	43492	31112	24060	40140	40404	39620	33951	38176	27829	28785	28436	49104	51287	41021	37454	37788	37648	39177	38311	37272	38717	37706	39520	27634	28196	27041	31264	28777	33467
3.333333	39845	48309	48022	41045	43132	42294	48633	46855	46680	48875	51108	48896	36936	36775	36536	36760	36658	37485	37659	37976	32782	34501	36964	34008	34460	35934	36961	27440	27017	27980	38490	40638	40386	40584	43576	30753	23917	39904	40574	39713	34328	38083	27496	28702	28607	49166	51742	41394	37721	37424	38023	39425	38647	37393	39264	38009	40081	27844	27735	26849	31328	28477	33708
3.350000	40194	48945	48262	41478	43029	41724	48494	47411	46140	48762	51237	48456	36516	37143	36298	36445	36184	37587	37876	37906	32706	34878	36468	34247	34703	35567	37061	27895	26964	27828	38186	39914	40312	40355	43488	31379	23836	39438	40134	40404	34611	38455	27740	28503	28480	49347	51983	41456	37445	37509	37656	39267	38591	37127	38323	37708	39799	27848	27919	26723	30922	28392	34088
3.366667	39810	48157	47871	41148	43519	42426	48493	47108	46978	49560	51321	48248	36433	37010	36399	36788	36284	38028	37584	38281	32666	34652	36792	34140	34482	35890	36779	28068	26972	28024	38256	40187	40293	40773	43543	30864	23904	40095	40377	39711	34496	38135	27915	28814	28712	49277	51621	41774	37268	37820	37865	39563	38487	37264	38218	37259	39872	27943	28183	26708	31168	28664	33766
3.383333	40420	49592	48001	41266	43662	42112	48508	47180	46745	48382	51440	48679	36028	37131	36363	36630	36114	37518	38092	37758	32651	34415	36889	33838	34711	35709	36760	27793	26870	27974	38605	39902	40474	40781	43983	30684	24076	39708	40810	39137	34013	38618	27844	28645	28675	49314	51304	41501	37602	37110	37954	39209	38458	37350	39049	37775	39928	28066	27836	26174	31043	29047	33700
3.400000	40345	49672	48201	41508	43184	42348	48303	46661	46998	49168	51174	48853	36080	36788	36160	36680	36543	37582	37775	37578	32922	34280	36461	34210	34755	35827	37252	27960	27013	27828	38676	39853	40273	40932	43826	30868	23828	39425	40439	40058	33845	37895	28021	28799	28903	49203	51562	41872	37947	37514	38047	38932	38720	37114	38944	37290	38990	27747	28012	26973	31457	28918	33917
3.416667	40362	49281	48694	41301	43483	41688	49216	46885	46836	49036	50746	48950	36519	37010	36499	36435	36036	37337	37511	38080	32945	34289	37044	33927	34412	36177	37147	28156	27132	27827	38586	40073	40540	40537	44506	30977	24278	40028	40446	39895	33808	38554	27888	28434	28675	49722	52015	41984	37809	37672	37770	39604	38989	36951	38856	37446	39655	27768	28148	26323	31255	28852	33712
3.433333	40882	49263	48095	41652	43400	42728	49017	46991	47583	49136	51385	48231	36364	37054	36098	36742	36195	37208	38180	37464	32495	34328	36616	34205	34835	35959	37096	28072	27332	27660	38083	40179	40063	39815	43698	30891	23828	39470	40626	39390	33466	38141	27673	28612	28820	49205	50924	41776	37552	37310	37832	39493	38209	37327	38391	37316	39867	28068	28496	26858	31114	28477	34124
3.450000	40540	49916	48628	41454	43700	42002	48495	47255	47214	49237	51524	48378	36636	36456	36295	36644	35917	38009	37294	37249	32607	34484	36433	33861	34680	36058	36474	28034	26980	27995	38211	40173	40225	41049	43953	31232	24158	40214	40276	39587	33984	38168	27747	28751	28758	49341	51843	41851	37835	37924	37814	39060	38834	37416	38584	37524	39888	27784	28047	26941	31497	28467	33622
3.466667	40726	49752	48430	41596	43616	42189	49181	47189	46558	49339	51555	48796	36436	37216	37132	36430	36112	37732	37346	37698	32912	34391	36804	34148	34536	35816	37192	28021	26958	27883	38401	40332	40820	41079	43911	31267	23988	39844	39918	40146	34344	38178	27737	28686	28687	49621	51480	41592	37047	37154	37555	39146	38700	36792	39044	37718	40304	27558	27951	26564	31381	28352	34146
3.483333	40757	50140	49211	41736	43914	42286	49001	47068	47039	49220	51269	48515	36716	37694	36348	36493	36116	37732	37728	37325	32404	34589	36781	34261	34984	35532	36856	28116	26971	27505	38345	40144	40700	40620	43676	30651	24064	39584	40549	40040	34256	38596	28249	28612	28570	50069	51651	41646	36976	37361	37996	39614	38675	36798	38775	37902	39980	28030	27988	26609	31084	28332	33952
3.500000	40962	50288	48600	41716	43088	42266	49076	47460	47018	49447	50810	48900	36026	37122	36337	36813	36151	37466	37364	37848	33119	34247	36508	33793	34343	35824	36831	28106	27212	27677	38005	40480	40734	40708	44232	31064	23668	39617	40112	40241	34230	38453	27777	28499	28564	49402	51953	41386	37404	37562	37426	39160	38544	37502	38557	38072	40199	28185	28148	26888	31128	28712	34045
3.516667	41124	50570	48752	41476	43440	42294	48595	47414	47300	48679	51914	48793	36020	36979	36156	37036	36052	37472	37796	37834	33439	34707	36319	34063	34516	35964	37128	27963	27111	28008	37986	40176	40612	40318	43730	30770	23955	39708	40135	39703	33992	37880	27488	28538	28600	49066	51668	41819	37640	37851	37114	38764	38750	37152	38431	37427	40095	27902	27600	26796	31846	28692	33620
3.533333	40994	50929	48564	41178	43832	42248	49524	47552	46954	49009	51780	48716	35785	36924	36122	36517	35860	37696	38062	37318	32904	34121	36650	34238	35153	35569	36961	27899	27012	27608	38533	40172	40644	40373	43437	31318	24140	39722	40517	40225	34084	37928	27434	28709	28496	49173	50999	41473	37794	37223	37986	38786	38730	37480	38614	37692	39749	27464	27636	26400	31018	28292	33862
3.550000	41433	51085	48598	41120	43185	42096	49244	47520	46904	48856	51846	48952	36476	37573	36210	36562	36060	37409	37412	37699	33040	34579	37229	34019	34262	35845	36620	28348	26861	27543	38268	39952	40976	40688	43497	30656	23697	39531	40449	39860	33919	38318	27371	28774	28925	49350	51950	42000	37070	37271	37613	39354	38587	37028	38929	37855	40197	28160	28046	26666	31229	28150	34191
3.566667	40900	50637	48964	41359	43929	42475	48600	47160	46544	49232	51876	48592	36584	37408	36524	36715	36286	37727	37850	37734	32716	34406	36407	33843	34512	35408	37077	28516	27029	27959	38826	40821	40318	40843	43878	30633	23752	39612	40827	39720	34436	38611	27715	28140	28408	49027	51684	41364	37910	37468	37701	39420	38597	37249	38231	37655	40109	27971	27444	27013	31369	28464	34036
3.583333	41394	50772	48958	41826	43272	42205	48890	47510	46517	49681	51513	47895	36490	36669	36749	36585	35968	37847	37512	37615	32087	34169	36591	33975	34931	36001	36484	28096	26940	27524	38147	40472	40421	40030	43996	31055	23712	39728	40311	39617	34048	37748	27896	28642	28616	49227	51622	41857	37126	37859	37748	38917	38555	36959	38676	37320	40544	27772	28239	26532	31310	28876	33891
3.600000	41577	51496	49204	41560	43979	42159	48724	47634	46667	49229	51122	48197	36000	36759	36640	37088	36377	38084	37350	37820	32116	34359	36675	33872	34368	35476	36702	27907	27433	27720	38460	40500	40056	40922	43548	30929	23278	39540	39792	40233	34076	37956	27921	28452	28670	49386	51456	42169	37369	37048	37524	39614	38740	37222	38295	37401	39848	27688	27844	26819	31428	28572	33944
3.616667	41117	51474	49281	41800	42688	42196	49324	47767	46587	49356	51202	49718	36242	36820	36256	36868	35629	37628	37922	37392	32465	34431	36873	33927	34632	35835	36911	28183	27003	27721	37947	40344	40353	40796	44412	31041	24024	39789	40578	40037	33621	37884	27666	28512	28313	49630	51916	42208	37457	37583	37814	39317	38251	37115	38606	37667	39855	27907	27700	26448	31685	29022	34035
3.633333	41343	51871	49464	41704	43421	41915	49319	47220	46724	48501	51524	48478	36092	36958	36394	36477	35903	38050	37613	37764	32294	34468	36851	34026	34817	35682	36872	28048	27024	27490	38481	40095	40647	40736	44194	31156	24012	39387	40824	40052	33980	38275	27767	28542	28485	48912	52701	41434	37996	37369	37748	39392	38854	37172	38998	37604	40260	27942	27546	26574	30970	28564	33929
3.650000	41525	52244	49435	41999	43730	42847	48761	48053	46198	49709	51304	48961	36604	37140	35952	36443	35910	37381	38090	37767	32050	34631	37127	34504	34252	35614	36112	27990	27120	27883	38642	40463	40174	40231	43709	31304	23876	40028	39912	39757	34360	38443	27489	28713	28343	49605	51940	41188	37412	37906	37612	39727	38772	37264	38848	37329	39834	28144	27989	26610	31829	28411	34120
3.666667	41510	52341	49690	41394	43447	42710	48972	47665	46736	49381	51758	48836	36184	37178	36339	36716	36301	37450	37448	37144	32588	34276	36689	34302	34730	35713	37117	27909	27147	27846	39100	40480	39851	40892	43916	31362	23766	39882	39683	40095	34384	38578	27621	28632	28684	49884	52614	41455	37415	37633	37915	39284	38710	37002	38842	37121	39964	27515	27679	26569	31652	28412	34154
3.683333	41540	52174	48865	41548	43796	42733	49171	47071	46858	48396	51887	48562	35999	37385	35964	36908	36236	37577	37300	37929	32491	34193	36956	33734	34798	35720	36815	27625	27054	27836	38058	39616	40719	40781	43565	30812	23702	39700	40735	40132	33827	37605	27456	28734	28803	49664	52460	41615	37843	36936	37771	38865	38192	36908	39136	37673	39708	28028	27987	26952	31137	28596	33814
3.700000	41452	52325	49222	42136	43535	42362	48405	47763	47069	49610	51808	48716	36256	36889	36384	36564	36366	37485	37831	37608	32355	34559	36745	33771	34361	35800	36880	27628	26707	27796	37855	40367	40088	40131	43604	30863	23547	40027	40828	40316	34296	38501	28020	28231	28676	49396	51796	41504	37620	37567	37735	39043	38112	37421	38620	37131	39672	27871	28168	26771	31554	28860	33836
3.716667	41527	53416	49552	41814	44573	42435	48996	47714	46779	49208	51850	48678	36487	36951	35844	36585	36300	37758	37688	37564	32104	34408	36692	34497	33842	35630	36982	27896	27132	27869	38163	40333	40361	40752	43900	31297	23795	39434	40196	40894	33965	38208	28172	28876	28482	49496	51573	41651	37392	37003	37210	39400	38336	37132	38852	37320	39765	27857	27813	26872	31632	28891	33888
3.733333	41552	52584	49212	41986	43857	41986	48561	47184	46957	49948	51418	49480	36264	37040	35964	36589	36447	37046	37431	37760	32789	34460	36912	34132	34291	35654	37252	28087	27248	28029	38034	40292	40480	40554	43814	30680	24144	39633	40356	40173	33965	37472	27952	28728	28426	49334	51933	41592	37446	37661	37548	39359	38403	37370	38304	37092	39951	27531	27841	26543	31609	28473	34320
3.750000	42296	52680	49186	41506	44632	42596	49107	48006	46749	49485	52176	49005	36347	36728	35790	36405	36017	37692	37460	37483	32308	34041	37260	34211	34465	35272	36622	27789	26886	27714	37572	39992	40055	40902	43396	31166	23997	40014	40841	39830	34230	38363	27797	28609	28857	49672	52056	41484	37560	37292	37600	39184	38344	37032	39059	37480	40039	28047	27898	26768	31520	28457	34121
3.766667	41800	52239	49641	42033	43984	42531	49867	48180	46798	49401	51855	49204	36144	37191	36144	36476	35822	37680	37611	37095	32320	34278	36785	33853	34442	35672	37006	27922	27158	27675	37721	39694	40404	40532	43796	31195	23820	39885	40501	40111	33856	38178	27573	28365	28480	49106	51770	42091	37140	36688	38005	39421	38378	36928	38578	37625	39748	28084	27702	27212	31416	28567	34160
3.783333	41950	52655	49315	41817	44235	42515	48747	47881	46667	49394	52680	49506	36376	36929	36448	36570	35967	37782	37148	37440	32314	34851	36888	34166	34404	35592	36967	28294	27219	27744	38270	40263	40192	41041	43548	30799	24121	39687	40580	39651	34152	38307	27736	28488	28697	49307	52314	41452	37238	37204	37537	39571	38658	37136	38670	37696	40146	28252	28203	26876	31345	28425	34118
3.800000	42195	52921	49793	41687	44254	42646	48774	47547	46824	49476	51782	49027	36229	37344	36415	36682	35988	37476	37733	37084	32320	34015	36795	33556	34255	35901	36807	28294	27284	28138	38426	40177	40209	40164	43836	30772	24220	39413	40315	40002	33720	38321	27916	28539	28712	49884	52404	41220	38212	37226	37528	39140	38444	37580	38744	37183	40005	28133	27816	26329	31286	28678	33784
3.816667	42083	53068	50156	41929	44255	42403	49006	47288	46825	49501	51868	48868	35954	36924	36142	36369	35736	37659	37273	38060	32365	34211	37244	33891	34703	35728	36512	27996	27043	27990	38398	40058	39750	40832	43686	30521	23728	38913	40355	39362	33777	38132	27992	28422	28411	48868	52547	41100	37425	37248	38437	38932	38533	37016	38305	37612	39671	27753	28007	26951	31477	28380	33879
3.833333	42162	53041	50452	41701	43850	42291	48792	47411	46968	50141	52307	48821	36092	37072	36145	36671	36101	37676	37333	37458	32401	34351	36764	33918	34224	35908	36423	27542	27252	27885	38279	40246	40713	40291	43912	31039	23885	39836	39928	39749	34056	37809	27036	28508	28404	49448	51979	41766	36990	37548	37186	39069	38601	37327	39327	37617	39818	27849	27848	26554	31581	28749	34504
3.850000	42114	53708	50207	41773	44048	42344	49128	47725	46836	49371	52140	48569	36688	36673	36001	36458	36225	37953	37243	37512	32431	34241	36470	33792	34623	35604	36736	27933	26731	28020	38309	40370	39921	40624	43555	31220	23604	39865	40718	39302	34134	38215	27610	28705	28456	49550	51585	41662	37432	37201	37080	38516	38369	36631	38543	37108	39849	27709	27917	26901	31554	28335	34245
3.866667	41898	52793	49488	42066	43984	42583	49134	47206	46616	49288	51955	48868	35998	37385	36358	36705	35860	38276	37615	37240	32064	34641	35469	33678	34696	35520	36946	27887	27244	27619	38038	39968	39787	40867	43656	30867	23972	39652	40272	39668	34496	38224	27651	28404	28633	50540	51888	41126	37501	37580	37623	39416	38513	37197	38840	37611	40283	27682	27928	27070	31656	28200	33764
3.883333	42248	53635	50088	42098	44444	42842	49246	47649	47128	49571	52555	49168	36164	36930	36625	36682	36316	37631	37220	37424	32167	34672	36109	34191	34561	35588	37041	28143	26748	28045	38096	39842	40048	41060	43967	31023	23716	39462	40232	39734	33880	37881	27906	27952	28531	49700	52002	41223	37483	37176	37513	39238	38647	37082	38869	37603	39199	27756	27792	26945	31683	28369	34831
3.900000	42427	53789	50076	42291	44275	42634	48523	48137	47184	49334	51418	49970	35988	36694	36452	36788	36104	37474	37722	37696	32212	34762	35731	33880	34700	35872	36690	27625	27118	27672	38784	39984	40224	40733	43637	31387	23696	39784	40327	39739	33732	37966	27582	28518	29110	49376	52141	41411	37348	37063	37734	38714	38859	37161	38999	37305	39599	27879	28143	26728	31563	28559	34314
3.916667	41368	53665	49884	41850	44750	42907	49140	48275	47591	49649	52587	49307	36188	37208	36236	36867	36284	36773	37328	37056	32154	34700	35713	33839	34176	36179	36602	27675	27176	27745	38684	40338	39744	40255	44361	30730	23618	39825	39966	39554	33598	38324	28013	28784	28350	49768	52983	42080	37608	37482	37775	39400	38023	36856	38334	37494	39876	28004	28074	26878	31733	28218	34339
3.933333	42724	53661	50155	41762	44017	42649	49002	47561	46665	49420	52205	49139	35814	37166	36503	36357	36108	37808	37786	37116	32357	34137	36079	34018	34308	35683	36803	27874	26892	27787	38442	40679	40319	40448	43484	30682	24020	39032	40637	39960	33316	38020	27253	28575	28636	49328	52247	41801	37125	37570	37138	39131	37932	36932	38589	37312	40146	27076	27631	26500	31489	28472	34039
3.950000	42252	53613	50712	41512	44586	42791	48708	47336	46726	49332	52027	49260	36366	36825	36072	36822	36205	38124	36360	36828	32600	34625	36440	33667	34340	35780	36872	28550	27196	28011	38502	39936	40537	40263	44050	30709	23720	39475	40007	39810	33743	38088	27700	28282	28460	50058	51755	41803	37017	36949	37722	38759	38453	37304	38682	37862	39992	27683	27655	26932	31656	28268	33803
3.966667	42736	53432	49612	41867	44398	42657	49152	47423	46885	49384	51590	49782	36639	37293	36499	36472	36185	37334	37444	37596	32297	34565	36064	34076	34704	35452	36229	28182	26396	28202	37208	40172	40019	40449	43346	31012	23920	40056	40527	39645	33522	38294	27601	28766	28503	49871	52100	41648	36978	37160	37191	39060	38485	37405	38872	37254	40140	27924	27747	26898	31792	28450	33849
3.983333	42116	53805	50132	42010	44096	42907	49410	47577	47456	48979	52204	49548	36209	36748	36634	36404	35712	37442	37485	37094	32324	33699	35527	33586	34415	35619	36640	27762	27024	27600	37984	39953	40507	40595	43968	31026	23770	39875	40194	39777	34134	37503	28035	28355	28963	49711	52156	41416	37321	37404	37859	38938	38860	37444	37990	37285	40257	27918	27992	26856	31601	28140	34381
4.000000	42540	54300	50412	42408	43763	42929	49310	47838	47520	50243	52021	49381	36556	36808	35488	36947	36344	37392	37431	37534	32189	33648	35622	34745	34289	35948	36784	28006	26575	27711	38103	39706	39862	40151	44024	30580	24036	39597	40479	39938	33840	38132	27981	28164	28523	49800	52407	41318	37782	37357	37358	39063	38061	37328	38278	37444	40053	27781	27816	27208	32173	28472	34775
4.016667	42964	54219	50303	42273	44256	43146	48852	47772	47215	49319	52907	48764	36494	36786	35949	36320	35968	38237	37212	37652	32290	34395	35902	34154	34926	35676	36619	28213	26704	27784	38351	39788	40339	40868	44049	31250	23840	39671	40299	39954	33603	37980	27695	28738	28422	49460	52211	41529	37549	37564	37409	38691	38348	36842	38983	37416	40254	27906	27940	26767	31815	27934	34303
4.033333	43024	54005	50107	41751	44552	42900	49085	48237	46678	49157	52061	49210	36325	37116	36264	36754	35788	37273	37561	37314	32479	34365	35805	34051	34448	35932	36948	28171	27414	27686	37945	39642	40093	40860	44303	30706	23694	39144	40416	39656	33664	38238	27508	28692	28394	49763	52200	41644	37510	37283	37784	39340	38612	36825	38403	37238	39725	27767	27869	26945	31847	28402	34241
4.050000	42592	54699	50308	41744	44222	42838	48443	47020	47132	50019	52601	49677	36276	36804	36526	36932	36265	37700	37283	37459	32194	34153	35532	33562	34392	35584	36436	28190	26787	27544	37590	39970	39884	40898	43618	30972	23420	39848	39833	39436	33923	37625	27425	28304	28596	49171	52007	41156	37808	37584	38080	38549	38312	36614	38199	37448	39980	27693	27380	26445	31792	28400	34040
4.066667	42637	54315	49610	42930	44552	42938	49193	47772	47040	49480	51647	49148	36104	37104	36358	36952	36187	37619	36980	37553	32072	34420	35667	33792	33928	35420	37335	27691	26846	27583	38455	40392	40002	40251	44052	30924	23572	39944	40056	39812	33893	38472	28135	28107	28443	49172	51942	41391	37424	37459	37604	39393	38056	37164	38321	37601	39674	27759	28079	27300	32021	28478	33879
4.083333	42742	54100	49805	42493	44264	42973	48490	47584	46412	49511	52756	49756	36412	36310	36586	36593	36428	37724	37377	36856	32568	34260	35673	33966	34779	35735	36239	27675	26934	27764	37515	39732	40680	40677	44200	30796	23448	39350	40332	39753	33437	38004	27694	28278	28267	49388	52259	41461	37640	37672	37408	38916	38324	36444	38316	37098	40476	28354	27672	26720	32057	28453	33816
4.100000	43569	54387	50401	42276	44276	43442	49436	47770	47227	49516	52640	49901	35947	36700	36338	36797	36104	37702	37344	37696	31437	34437	35364	34072	34523	35573	37317	27896	27102	27792	37828	40315	40566	40635	44058	31184	23869	39356	40208	39957	33507	37921	27456	28292	28530	49815	51762	41484	37298	37430	37330	38832	38279	37304	38581	37734	39681	27578	28088	26810	31809	28450	34050
4.116667	42488	54668	50473	41770	44217	42910	48852	47726	46751	49489	52529	49334	36405	36327	36332	36718	35798	37577	37370	37570	32477	34092	35520	34496	34724	35782	37352	27816	27067	27664	38178	40580	40448	40896	44318	30986	23924	40022	40066	39940	33233	37954	27876	28511	28564	49843	51527	41734	37435	37290	37413	39181	38360	37436	38856	37500	39596	27756	28031	26679	32158	28383	33969
4.133333	42831	54628	50478	42068	44329	43021	49483	48044	47026	49432	52116	49479	36191	36902	36810	36531	36299	37147	37340	37414	32233	34308	35728	34123	34728	35929	37496	28297	26878	27701	38112	40367	40287	40968	43822	31180	23641	39850	40511	39789	33911	38092	27908	28640	28257	50101	52268	41752	37371	37416	37539	38780	37888	37240	38674	37233	39586	27439	27997	27080	32096	28517	34560
4.150000	43115	54701	50392	42847	44214	43190	48930	47899	47184	49595	51899	49644	36472	37032	36556	36501	35860	37508	37185	36985	32560	34488	35967	33479	34753	36144	36772	27824	26696	27794	37829	40272	40304	40173	43814	30932	24020	39117	40192	39414	33852	37769	27638	28301	28212	49126	52310	40765	37198	37330	37804	38782	38673	36957	38111	37591	40092	28019	28028	26770	32561	28284	34450
4.166667	43368	54515	50177	42585	44780	42898	49166	48045	47575	49172	52352	50467	36489	36943	36372	36998	36424	37669	36955	37702	31936	34215	35400	33921	34466	35638	37011	28086	26668	27495	37598	40212	40575	40780	43620	30951	23574	40117	40084	39849	33674	37983	27958	28710	28719	49540	51796	41462	37470	37700	37322	39274	38616	37039	39320	37608	39994	27679	27871	27092	32376	28329	34301
4.183333	43408	54603	50643	42124	44570	43339	49330	47554	47193	49900	52184	49227	36287	36616	36008	36350	36010	37201	37165	37544	31906	34544	36116	33380	34480	35465	37029	28161	27016	27471	38672	39931	40472	40749	44288	30623	23695	39956	40175	39824	33764	37771	27928	28539	28329	49213	51888	41307	36876	37477	37729	39103	38306	36895	38487	37336	39648	27442	27941	27245	32418	28096	34194
4.200000	43178	55412	50994	42800	44572	42927	49220	47679	46678	49957	52083	48880	35964	37054	36546	36267	36235	37355	37644	37318	31842	34385	35548	34167	34739	35749	37088	27988	27324	27520	37855	39620	40030	40909	43654	30719	23642	40011	40679	40211	33340	37980	27911	28198	28659	50286	52484	42178	36953	37662	37016	39456	38416	36350	38870	36588	39804	27587	27929	26592	31941	28220	34315
4.216667	43560	54841	50864	42394	44161	43220	49660	47811	46827	48982	52395	49399	35880	37002	36246	36851	35709	37657	37016	37521	32536	34733	35375	34152	34329	35962	36693	28264	27164	27712	37888	39832	40174	41118	43860	31309	24049	39848	40300	39660	33733	37396	27722	28464	28767	50481	52659	42071	37618	36919	37567	39676	38294	37176	39152	37395	39668	28060	27638	27360	32246	28193	34332
4.233333	43251	55308	50687	42637	44106	42888	49118	47990	47177	49780	52432	49767	35812	36696	36222	36834	35647	37931	37300	37910	32365	34300	35809	33527	34056	35235	36583	28522	26848	28148	38312	40354	40557	40704	43552	30419	23843	39563	40020	39826	33538	38296	27509	28304	28454	49886	52364	41788	37532	37168	37060	39394	38268	37122	38950	37499	39862	28028	28168	26836	32336	28252	34104
