Time	B02	B04	B06	C02	C04	C06
1.054167	1054	440	2102	1059	512	2078
1.060556	1050	446	2109	1051	508	2099
1.066944	1064	450	2107	1056	504	2112
1.073333	1069	449	2136	1063	506	2100
1.079722	1068	438	2118	1073	510	2109
1.086111	1064	438	2120	1064	501	2128
1.092500	1079	444	2156	1064	507	2137
1.098889	1074	442	2167	1074	505	2155
1.105278	1080	437	2154	1090	498	2157
1.111667	1080	445	2157	1095	493	2175
1.118056	1091	448	2195	1074	493	2206
1.124444	1095	452	2182	1088	500	2204
1.130833	1086	443	2195	1074	494	2220
1.137222	1112	445	2205	1088	507	2232
1.143611	1089	442	2165	1100	501	2246
1.150000	1096	445	2221	1097	500	2260
1.156389	1104	440	2207	1102	500	2258
1.162778	1087	441	2223	1106	506	2292
1.169167	1105	438	2242	1101	511	2286
1.175556	1115	442	2245	1119	509	2313
1.181944	1120	446	2292	1122	501	2318
1.188333	1114	443	2264	1096	494	2322
1.194722	1124	441	2281	1129	497	2329
1.201111	1137	430	2336	1118	501	2337
1.207500	1134	449	2349	1124	497	2350
1.213889	1140	437	2357	1111	502	2374
1.220278	1140	445	2408	1119	499	2378
1.226667	1153	441	2393	1142	498	2384
1.233056	1125	445	2380	1140	508	2381
1.239444	1130	444	2358	1146	497	2411
1.245833	1149	442	2353	1147	503	2424
1.252222	1149	435	2380	1121	493	2416
1.258611	1142	439	2326	1147	495	2435
1.265000	1144	433	2380	1150	491	2468
1.271389	1152	431	2539	1154	495	2469
1.277778	1150	444	2523	1162	496	2468
1.284167	1160	434	2544	1151	492	2495
1.290556	1161	438	2518	1160	496	2514
1.296944	1173	447	2503	1163	506	2535
1.303333	1176	436	2477	1173	499	2536
1.309722	1169	430	2595	1178	496	2547
1.316111	1177	440	2699	1165	493	2537
1.322500	1191	436	2712	1163	498	2560
1.328889	1174	436	2771	1163	498	2580
1.335278	1184	434	2773	1187	497	2604
1.341667	1182	430	2795	1178	490	2606
1.348056	1185	440	2756	1194	497	2645
1.354444	1178	438	2672	1192	500	2623
1.360833	1202	440	2651	1201	495	2644
1.367222	1210	435	2619	1199	495	2651
1.373611	1188	435	2645	1213	499	2664
1.380000	1207	434	2679	1205	497	2707
1.386389	1207	442	2694	1201	500	2707
1.392778	1199	440	2718	1216	495	2717
1.399167	1213	444	2779	1218	491	2704
1.405556	1205	438	2831	1216	493	2749
1.411944	1218	441	2863	1223	493	2790
1.418333	1217	443	2887	1231	504	2775
1.424722	1228	442	2918	1220	494	2785
1.431111	1218	436	2943	1232	493	2816
1.437500	1230	433	2963	1221	493	2800
1.443889	1249	438	2998	1240	493	2838
1.450278	1245	440	3034	1241	491	2857
1.456667	1253	432	3057	1246	500	2850
1.463056	1237	439	3078	1241	493	2894
1.469444	1248	434	3070	1233	492	2907
1.475833	1246	444	3112	1235	505	2907
1.482222	1246	436	3133	1245	488	2925
1.488611	1256	441	3173	1252	501	2965
1.495000	1256	436	3184	1258	493	2947
1.501389	1258	431	3180	1250	496	2970
1.507778	1259	439	3216	1266	502	3009
1.514167	1253	446	3226	1265	501	3026
1.520556	1265	435	3261	1259	499	3035
1.526944	1278	439	3279	1290	496	3044
1.533333	1271	438	3305	1275	497	3039
1.539722	1280	437	3324	1283	490	3102
1.546111	1282	431	3363	1281	490	3090
1.552500	1288	439	3352	1279	490	3094
1.558889	1274	432	3403	1284	495	3109
1.565278	1285	438	3395	1285	496	3131
1.571667	1303	430	3420	1294	495	3131
1.578056	1296	435	3457	1285	499	3181
1.584444	1288	432	3484	1291	499	3188
1.590833	1291	437	3497	1297	496	3172
1.597222	1287	440	3528	1316	504	3205
1.603611	1289	441	3551	1323	495	3249
1.610000	1312	436	3548	1309	499	3244
1.616389	1314	440	3579	1286	497	3248
1.622778	1317	433	3564	1303	495	3258
1.629167	1325	439	3614	1302	490	3296
1.635556	1321	445	3654	1305	498	3317
1.641944	1327	442	3665	1335	496	3340
1.648333	1319	441	3693	1320	495	3333
1.654722	1312	446	3735	1336	496	3342
1.661111	1320	441	3741	1334	484	3373
1.667500	1329	439	3764	1325	484	3396
1.673889	1330	432	3783	1338	500	3397
1.680278	1352	438	3801	1334	499	3407
