Time	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11
0.888889	10191	11770	12755	12785	12290	12625	10692	10767	10416	11540	11709	11257	9956	10233	9928	9714	10260	9900	8477	8778	8748	9738	13200	8673	7907	8604	8269	8282	8527	8564	7591	8001	7567	7724	7726	7919	7317	7513	7639	7719	7546	7402	6968	7213	7213	7523	7051	7224	7063	7362	7256	7113	7048	7089	7185	7113	7164	7076	7312	7233
0.944444	10291	11756	12690	12987	12470	12946	10821	10722	10357	11547	11729	11345	9914	10249	9868	9843	10321	9813	8613	8899	8514	9793	13139	8768	7851	8533	8446	8366	8422	8734	7568	7984	7540	7934	7769	7829	7193	7524	7757	7558	7643	7420	7010	7241	7118	7475	7121	7253	7058	7274	7231	7132	7114	6992	7273	7131	7113	7157	7275	7221
1.000000	10251	11871	12932	13104	12597	13035	10791	10841	10439	11719	11947	11329	9873	10240	9959	9823	10343	9904	8541	8988	8763	9845	13239	8819	7793	8619	8315	8355	8443	8700	7561	7978	7644	7813	7711	7812	7168	7586	7718	7751	7616	7476	6976	7227	7120	7495	7078	7262	7083	7328	7204	7090	6944	7036	7272	7083	7008	7168	7242	7232
1.055556	10299	12164	13415	13058	12793	13606	10726	10924	10443	11787	11951	11395	9917	10320	9952	9874	10411	9979	8580	8972	8813	9839	13093	8735	7762	8704	8372	8329	8516	8659	7620	7952	7594	7937	7720	8057	7326	7493	7644	7649	7539	7541	6917	7274	7271	7376	7142	7180	7031	7300	7248	7175	7135	7151	7166	7034	7039	7133	7343	7286
1.111111	10665	12517	14011	13036	13042	14000	10802	11037	10505	11996	11992	11409	10019	10415	9988	9831	10426	10075	8566	8917	8688	9829	13293	8799	7897	8629	8349	8259	8593	8572	7635	7963	7621	7882	7776	7964	7264	7549	7696	7512	7594	7556	7048	7175	7202	7516	7162	7226	7062	7308	7230	7168	7096	7041	7131	7215	7065	7081	7362	7135
1.166667	10587	13211	15110	13460	13531	14886	10861	10930	10518	12199	12196	11514	9968	10465	9993	10027	10551	9908	8580	8938	8752	9918	13257	8886	7900	8675	8352	8406	8620	8676	7692	7958	7594	7917	7715	8039	7260	7555	7642	7589	7665	7513	6974	7249	7225	7521	7070	7241	7025	7315	7254	7084	7061	7202	7109	7130	7121	7042	7301	7269
1.222222	10793	13965	16531	13817	14064	16793	11000	11136	10543	12507	12373	11733	10042	10469	10030	9891	10623	10043	8544	9037	8627	9927	13462	8872	7822	8773	8449	8432	8600	8671	7649	8085	7628	7984	7923	8040	7288	7551	7672	7660	7463	7624	7044	7311	7149	7514	7060	7199	7126	7255	7216	7038	7136	7098	7209	7199	7052	7198	7313	7184
1.277778	11128	15329	18570	14115	14985	18889	11043	11289	10866	13258	12734	11637	10128	10486	10057	10047	10534	10018	8603	8925	8860	9913	13407	8940	7873	8757	8434	8477	8576	8681	7727	7954	7744	8063	7831	8015	7288	7681	7719	7688	7579	7481	6946	7336	7170	7628	7112	7173	7101	7319	7288	7083	7022	7152	7248	7162	7147	7148	7388	7220
1.333333	11445	16879	20281	15120	16830	21624	11004	11421	10973	13784	13183	11797	10064	10448	10100	10009	10670	10219	8603	9009	8940	9893	13521	9040	7963	8654	8380	8366	8694	8833	7593	7909	7610	7995	7906	8069	7326	7529	7614	7744	7596	7659	7000	7234	7187	7519	7112	7180	7098	7333	7253	7055	7038	7107	7116	7241	7113	7097	7308	7193
1.388889	12035	18859	22039	16257	18849	23504	11214	11716	11062	15602	13764	12034	10061	10374	10203	10083	10784	10046	8716	9071	8802	9966	13579	9037	7947	8813	8468	8518	8650	8744	7675	8093	7713	8010	7859	8054	7293	7498	7653	7686	7570	7523	6999	7222	7214	7570	7067	7129	7135	7250	7237	7092	7129	7082	7206	7039	7080	6995	7425	7205
1.444444	12445	21020	23826	18626	21207	25746	11121	12259	11242	17526	14296	12332	9941	10495	10110	10194	10663	10099	8638	9047	8870	10134	13488	9018	7875	8816	8466	8477	8700	8865	7696	8097	7639	7946	7814	8054	7309	7620	7821	7653	7634	7693	7077	7184	7201	7483	7056	7157	7065	7313	7201	7097	7096	7082	7145	7293	7047	7231	7394	7146
1.500000	13254	23214	25222	20919	23680	27952	11234	12757	11516	20392	15239	12521	10131	10490	10198	10091	10709	10224	8599	9230	8907	10109	13676	9058	7915	8781	8502	8424	8700	8842	7644	8102	7746	7973	7817	8009	7239	7544	7679	7630	7514	7586	7033	7217	7215	7535	7070	7244	7090	7232	7204	7064	6999	7075	7127	7127	6988	7018	7361	7190
1.555556	14401	25294	26947	22822	25573	30053	11498	13832	12146	22814	16771	13134	10153	10537	10309	10222	10888	10170	8709	9087	8950	10040	13621	9069	7983	8888	8689	8468	8586	8881	7679	8112	7699	8054	7816	8007	7378	7594	7736	7687	7614	7534	7002	7206	7236	7487	7043	7148	7045	7166	7270	7070	6982	7142	7166	7046	7094	7082	7315	7243
1.611111	15723	26789	28047	25242	26701	32448	11560	15935	12721	25245	18655	13771	10275	10483	10294	10288	10913	10299	8685	9217	8948	10106	13624	9055	7968	8814	8500	8468	8652	8827	7520	7993	7619	8032	7807	8093	7370	7558	7668	7591	7663	7663	7046	7354	7252	7509	7170	7293	7003	7206	7314	6984	7067	7048	7209	7130	7034	7126	7238	7109
1.666667	17630	27899	29166	27224	27952	33667	11923	18060	13744	26967	21521	14824	10139	10509	10422	10338	11028	10225	8729	9264	8791	10166	13644	9038	7854	8811	8529	8595	8768	8848	7743	8055	7679	8083	7756	8016	7259	7585	7743	7644	7584	7523	6992	7278	7266	7555	7118	7161	7129	7377	7099	7108	7016	7196	7148	7177	7044	7175	7357	7049
1.722222	19833	28893	29517	29778	29308	35027	12418	20247	15752	28268	23955	16656	10222	10642	10464	10283	11025	10421	8612	9215	9080	10262	13762	9098	8019	8792	8580	8498	8745	8841	7656	8195	7607	8035	7810	8139	7314	7594	7701	7565	7596	7529	7022	7249	7173	7597	7003	7128	7083	7285	7308	7150	7072	7180	7123	7028	7063	7145	7352	7164
1.777778	21927	29509	30552	31594	30032	36963	12881	22415	18017	29599	26221	18322	10364	10380	10506	10499	11363	10461	8869	9255	9077	10267	13896	9087	7925	8878	8551	8563	8680	8980	7631	8173	7620	7890	7828	8041	7221	7489	7629	7633	7487	7550	6996	7278	7160	7535	7038	7242	6956	7292	7163	7118	7049	6992	7113	7187	7122	7144	7315	7277
1.833333	23760	30138	30432	32876	30894	38240	14157	24293	20375	30988	27946	20773	10318	10680	10577	10589	11719	10574	8857	9394	8967	10335	13840	9173	7948	8851	8525	8435	8783	8833	7604	8071	7666	8006	7830	7965	7296	7612	7657	7583	7505	7573	6991	7278	7234	7518	7083	7141	6980	7249	7182	7146	7035	7133	7087	7167	7052	7269	7268	7173
1.888889	25305	30805	31032	34060	32281	39055	16083	25184	22756	32239	29086	23300	10318	10787	10895	10787	12032	10656	8754	9399	9068	10407	13780	9165	7914	8812	8541	8497	8891	8891	7547	8049	7615	7942	7824	8056	7230	7457	7600	7527	7568	7504	6933	7155	7250	7503	7054	7197	7052	7238	7147	7077	6994	7065	7150	7297	7123	7115	7324	7136
1.944444	26627	31189	31477	34424	32678	39259	17520	26292	24435	32267	30027	24983	10403	10830	11039	10916	13104	10964	8728	9433	9087	10600	13970	9146	7968	8809	8546	8615	8751	8885	7564	8082	7643	7952	7850	8028	7308	7470	7686	7684	7567	7591	6885	7169	7193	7553	7032	7155	6956	7205	7167	6956	7055	7072	7187	7280	7183	7174	7295	7217
2.000000	27797	32680	31922	35996	33072	40031	19510	26673	25969	32981	31381	26885	10273	10796	11549	11257	14102	11139	8771	9464	9243	10438	14013	9241	8033	8886	8575	8554	8758	8934	7622	8017	7574	7915	7806	7923	7410	7528	7683	7718	7588	7632	6926	7132	7229	7588	7039	7092	7075	7198	7158	7130	7015	7173	7171	7264	7025	7098	7395	7047
2.055556	28960	32656	32070	35485	33745	41181	21576	28151	26553	33031	32528	28869	10479	10869	12070	11657	15646	11694	8843	9467	9470	10716	14163	9304	7982	8803	8580	8598	8801	9036	7671	7944	7715	7998	7797	7910	7368	7565	7759	7588	7533	7582	6892	7111	7296	7491	7017	7179	7050	7273	7239	7079	7027	7117	7127	7224	7055	7108	7299	7118
2.111111	30320	33395	32292	36561	34541	40669	23706	29057	27122	33173	33536	29602	10483	11057	13014	12515	16687	12422	8875	9584	9684	10904	14360	9237	7887	8976	8568	8543	8792	8998	7720	7917	7661	7943	7861	8011	7174	7522	7717	7675	7598	7603	6988	7121	7218	7572	7126	7088	6977	7175	7241	7092	7101	7035	7236	7105	6990	7159	7315	7267
2.166667	30688	34464	34021	37751	34863	41782	25440	29459	28142	33780	33796	30383	10541	11066	14423	13732	17620	13521	8882	9631	9882	11287	14580	9296	7962	8855	8651	8570	8720	9049	7640	7989	7552	7893	7764	8035	7222	7510	7740	7613	7599	7516	6919	7126	7134	7522	7077	7086	7051	7016	7307	7097	7112	7058	7123	7193	6996	7077	7395	7228
