Time	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11
0.000000	13278	15702	17144	16562	17518	15723	12343	14821	14181	14073	14066	13723	11163	13272	12884	12528	13003	12235	11006	11215	10881	11120	11392	11574	10027	10491	11160	13226	12637	11041	10384	10024	10083	9774	10014	9747	8982	9095	9261	10097	9251	9121	9051	9125	9306	9127	9066	9212	8459	10041	8694	8883	8773	8787	8791	8709	8723	9002	8829	9261
0.055556	12833	14903	16080	15624	16518	15014	12125	14176	13506	13589	13836	13316	10973	12886	12646	12290	12805	11796	11052	10888	10929	10948	11203	11351	9990	10481	11022	13140	12458	11032	10280	10001	10023	9767	10019	9789	9003	9256	9280	10163	9170	8943	9131	9144	9189	9135	9156	9229	8323	9703	8725	8870	8682	8833	8711	8748	8692	9069	8845	9109
0.111111	13113	14932	16262	15603	16746	14894	12180	13968	13430	13570	13818	13404	11174	12944	12552	12101	12753	11860	10997	10999	10838	11079	11429	11433	9980	10497	10993	12938	12546	11051	10423	10046	10077	9786	9939	9836	9055	9157	9290	10147	9354	9036	9022	9162	9179	9216	9221	9214	8268	9581	8714	8907	8677	9033	8703	8711	8733	8991	8865	9265
0.166667	13117	14947	16322	15974	16835	15055	12314	14203	13567	13753	13728	13457	11136	13024	12666	12123	12689	11956	10956	11099	10918	11144	11419	11405	10027	10476	11088	12848	12552	11072	10528	10174	10060	9822	10011	9914	9039	9236	9316	10154	9239	8995	9117	9295	9213	9205	9230	9243	8393	9703	8950	8959	8760	8999	8758	8876	8632	8981	9010	9226
0.222222	13237	15145	16483	15931	16638	15224	12480	14277	13656	13705	13886	13523	11201	13023	12574	12191	12806	11981	10979	11094	10982	11196	11287	11559	10081	10702	10997	13085	12601	11215	10555	10153	10154	9807	10121	10014	9093	9330	9333	10181	9273	9101	9206	9239	9252	9288	9198	9182	8490	9638	8913	9073	8751	9072	8768	8908	8617	8980	8850	9179
0.277778	13317	15322	16481	16051	16965	15217	12324	14321	13637	13760	13918	13604	11236	13213	12633	12371	12840	12013	11129	11354	10899	11154	11363	11531	10091	10592	11084	13353	12596	11132	10532	10131	10028	9886	10083	9992	9191	9228	9374	10276	9281	9134	9204	9273	9399	9338	9308	9220	8488	9625	8919	9101	8771	9070	8810	8916	8712	9091	9010	9224
0.333333	13526	15431	16812	16092	17142	15243	12510	14244	13906	13934	14025	13698	11215	13267	12742	12349	12813	12038	11024	11247	11029	11223	11341	11617	10020	10616	11199	13166	12714	11224	10600	10189	10172	10010	10045	9977	9271	9308	9453	10434	9322	9103	9235	9459	9374	9306	9203	9357	8475	9769	8956	9140	8769	9071	8854	8950	8751	9078	9025	9344
0.388889	13531	15487	16815	16215	17001	15319	12518	14569	13871	14101	14001	13570	11264	13082	12591	12499	13050	12233	11086	11231	10952	11249	11540	11720	10067	10670	11331	13259	12750	11264	10554	10199	10247	9942	10167	10103	9236	9375	9479	10391	9365	9150	9217	9363	9391	9298	9302	9327	8629	9709	9057	9152	8791	9217	8869	8854	8865	9146	8948	9318
0.444444	13599	15659	16920	16290	17230	15378	12408	14640	14005	14143	14008	13738	11400	13115	12585	12316	13090	12180	11245	11387	11116	11378	11481	11553	10146	10695	11183	13229	12772	11251	10751	10243	10391	10040	10139	10181	9144	9458	9440	10390	9409	9180	9136	9337	9375	9499	9300	9398	8629	9694	9089	9342	8701	9169	8804	8943	8728	9112	9092	9298
0.500000	13426	15639	17016	16560	17294	15417	12708	14667	14187	14012	14100	13763	11397	13302	12787	12490	13104	12252	11155	11328	11214	11413	11427	11623	10208	10658	11138	13181	12782	11411	10759	10276	10407	10047	10183	10244	9242	9500	9586	10499	9533	9119	9150	9439	9503	9356	9382	9545	8733	9755	9120	9366	8768	9268	8896	8937	8799	9096	9033	9379
0.555556	13573	15688	17110	16455	17405	15529	12753	14703	14240	14250	14262	13909	11324	13264	12769	12557	13042	12123	11217	11332	11086	11366	11464	11636	10150	10794	11218	13370	12857	11392	10734	10410	10373	9999	10274	10157	9275	9537	9554	10391	9378	9223	9334	9296	9631	9439	9458	9561	8577	9891	9229	9308	8782	9278	8919	8917	8803	9154	9067	9438
0.611111	13609	15853	17044	16563	17559	15550	12673	14708	14170	14386	14232	13875	11431	13346	12735	12627	13260	12336	11212	11385	11157	11432	11609	11639	10263	10848	11237	13320	12947	11286	10788	10435	10431	10230	10250	10267	9295	9556	9653	10438	9548	9179	9327	9480	9385	9503	9424	9453	8731	9759	9221	9420	8883	9305	8879	8897	8773	9165	9057	9297
0.666667	13679	15939	17132	16509	17704	15754	12774	14726	14094	14524	14285	14045	11560	13434	12904	12487	13235	12275	11321	11698	11129	11440	11615	11886	10283	10785	11435	13292	12900	11468	10915	10357	10546	10156	10402	10129	9274	9578	9694	10508	9498	9250	9309	9399	9451	9557	9362	9475	8674	9897	9148	9402	8876	9294	8924	8911	8742	9108	9041	9259
0.722222	13862	15874	17060	16519	17517	15709	12757	14670	14217	14687	14208	14115	11596	13470	12733	12703	13310	12249	11279	11438	11146	11461	11607	11964	10346	10862	11280	13261	12882	11359	10878	10492	10398	10191	10408	10246	9305	9688	9634	10441	9474	9255	9392	9355	9418	9423	9521	9550	8723	9891	9164	9456	8979	9380	8949	8925	8816	9262	9028	9445
0.777778	13671	16017	17272	16595	17434	15765	12881	14767	14459	14572	14307	14159	11442	13445	12877	12523	13156	12263	11292	11759	11198	11634	11655	11808	10154	10789	11313	13292	12947	11234	10985	10473	10466	10136	10300	10284	9503	9652	9620	10538	9443	9257	9294	9461	9460	9528	9437	9621	8665	9804	9281	9480	8902	9335	8996	8978	8767	9258	9095	9491
0.833333	13716	16248	17385	16723	17491	15829	12802	14594	14412	14580	14408	14080	11509	13631	12822	12738	13258	12100	11332	11678	11231	11530	11634	11979	10242	10884	11430	13226	12780	11455	10927	10546	10398	10199	10361	10251	9330	9516	9746	10477	9480	9360	9467	9362	9472	9461	9436	9517	8782	9822	9312	9266	8946	9248	8872	8849	8763	9210	9055	9515
0.888889	13753	15988	17287	16619	17513	15799	12844	14765	14561	14793	14420	14297	11443	13515	12986	12892	13254	12082	11430	11639	11118	11524	11637	11837	10278	10927	11360	13267	12940	11673	10952	10603	10466	10293	10268	10391	9364	9623	9626	10458	9580	9391	9418	9491	9612	9620	9599	9634	8785	9809	9230	9475	8928	9308	8998	8885	8759	9171	8977	9461
0.944444	13758	16224	17289	16688	17490	15802	12816	14746	14569	14818	14299	14302	11563	13517	12747	12591	13473	12202	11422	11876	11282	11556	11501	11700	10356	10728	11153	13318	13148	11474	10989	10528	10543	10189	10440	10406	9383	9594	9787	10716	9710	9512	9382	9451	9594	9514	9495	9492	8656	9702	9269	9512	8923	9326	9023	8916	8819	9113	9043	9493
1.000000	13840	16308	17432	16723	17618	15891	12853	14614	14496	14990	14373	14295	11619	13497	12871	12837	13351	12273	11345	11802	11280	11482	11557	11854	10335	10934	11265	13256	13022	11515	10966	10565	10338	10215	10421	10296	9352	9604	9768	10623	9619	9448	9423	9295	9589	9646	9515	9489	8818	9961	9207	9409	8971	9425	9054	8958	8673	9193	9107	9489
1.055556	13957	16346	17455	16724	17565	15911	12774	14619	14451	14925	14364	14270	11751	13554	13101	12936	13289	12277	11298	11798	11171	11772	11738	11799	10246	10849	11319	13405	13026	11580	10999	10485	10530	10277	10434	10339	9370	9631	9651	10695	9650	9393	9358	9427	9680	9594	9537	9867	8701	9946	9422	9600	8850	9421	9139	9007	8884	9138	9067	9318
1.111111	14001	16289	17451	16578	17736	15911	12826	14765	14564	15071	14454	14120	11675	13299	13053	12893	13566	12254	11251	11828	11333	11667	11806	11944	10360	10991	11425	13400	13117	11529	11013	10662	10541	10235	10392	10268	9434	9657	9720	10579	9709	9451	9469	9290	9932	9631	9461	9653	8837	9660	9300	9495	8909	9479	9109	9006	8735	9128	9065	9407
