Time	B02	B03	B04	B05	B06	B07	B08	B09	B10	C02	C03	C04	C05	C06	C07	C08	C09	C10	D02	D03	D04	D05	D06	D07	D08	D09	D10	E02	E03	E04	E05	E06	E07	E08	E09	E10	F02	F03	F04	F05	F06	F07	F08	F09	F10	G02	G03	G04	G05	G06	G07	G08	G09	G10
0.230000	54581	62216	60940	63373	66458	62268	63934	63636	65506	53685	56094	61141	55215	60282	63982	39495	40639	41413	37160	36536	38946	31717	32013	32316	33610	33034	34813	32250	32898	32015	31971	31309	32280	34725	33921	33772	34220	33474	33606	53363	57710	52550	35784	35809	33871	35816	35893	35338	64915	68898	66693	63324	61563	61318
0.242778	55909	65321	62716	64641	68851	64484	66323	66932	66410	56819	58676	64500	58867	63582	67340	41444	41363	43632	37274	38234	39675	31223	31739	31600	33623	32948	33765	31694	32384	32746	32253	31901	32444	34770	34791	34136	34226	33099	33936	55814	60266	54264	36655	35764	34131	35678	35062	35545	66287	69907	65950	65614	62246	62555
0.255556	57921	65645	63448	66135	70028	65881	67553	66664	67967	58577	60560	65665	61353	66973	71488	42727	43366	45473	38248	39112	40307	31783	32214	31882	33315	33064	34142	31982	32440	32515	32421	31342	32511	34806	34349	34257	34220	32953	34510	57693	62751	56667	36276	35527	34571	35933	35067	35472	66433	71268	67296	66708	62891	63333
0.268333	59304	66647	64827	66701	71231	67113	69412	68715	68647	59802	62048	67625	63300	69265	72477	44500	44838	47178	39398	39919	41760	32231	31634	31953	33845	33661	34373	31700	32445	32458	32504	31983	31859	34972	34729	33969	34719	32421	33710	60824	64415	59986	36167	35834	34722	36066	35151	34830	67678	71021	67410	67008	63966	63593
0.281111	61764	68146	65313	68272	72756	68185	69655	68997	70494	61119	64368	68927	64499	70708	73184	46202	47147	50561	40112	40749	42672	31520	32530	32538	34021	32411	34372	31623	32295	32163	32424	32297	32565	34868	34945	34651	34903	32911	33479	62556	67092	61642	37108	35727	34790	35945	34460	35017	68061	72450	68195	66819	63621	63481
0.293889	61500	67875	67238	69910	72033	69582	69877	69900	71470	62124	64722	69586	67187	72547	76191	48036	49602	52410	40957	41830	44488	31948	31913	32127	33744	32821	33941	32075	32290	33089	32610	32467	31501	33894	34995	34458	35039	33163	33753	64219	67826	63820	36079	35372	34286	35906	34963	34662	67944	72224	68436	66511	64401	64876
0.306667	61824	69397	66902	70311	73642	69878	70109	70197	71264	62030	65542	70899	68706	72689	75827	50235	51467	54365	40694	44433	46001	31786	32058	32399	33396	32849	34968	31208	33152	32330	32511	31651	32081	34431	35060	34428	34183	33421	33222	66143	69401	66179	35943	35594	34966	36267	35589	34538	68935	73542	69181	68180	65054	64670
0.319444	62959	69114	68654	71373	74416	72222	69893	70862	72362	63877	65049	70860	69586	73948	76853	52225	53805	58027	42762	44679	47434	31988	32127	32088	33243	32931	35126	31284	33129	32192	31676	32050	32220	34449	35227	33916	34189	32655	33985	67660	70201	66523	36487	35616	33759	36237	35300	35046	68484	72323	68872	68161	65518	64950
0.332222	62955	70069	68172	70472	74263	71448	71235	72768	71297	63895	67401	71968	70427	73871	77547	55121	56044	60586	43705	46160	49191	31301	32000	31981	32817	32955	35315	32038	32784	32516	32396	31818	31537	34586	35590	34162	34206	33035	33084	67596	70066	67672	36596	35834	34202	36167	34272	35010	69533	72694	70065	68140	64715	64926
0.345000	63191	70896	69140	71976	75336	71981	72091	72798	73745	64904	67148	73118	71095	75840	77256	57572	58945	61742	44006	46736	51320	32047	32561	32387	33454	33453	34580	32036	33222	32726	31729	32022	32261	34248	35319	34677	34127	33156	33403	68470	71698	69323	36365	35495	34388	35556	35340	34743	70054	71634	70428	67824	64694	64480
0.357778	63786	71295	69244	72735	75384	72806	72489	72386	73050	66276	67913	73368	71529	76294	78016	59758	60232	64232	45916	49410	53278	31956	32187	32759	33404	33481	33894	31509	32238	32515	31567	31868	31861	35030	35707	34961	34184	32754	34203	68987	72032	70210	35675	35261	34503	35988	35094	34446	69339	73353	69841	68483	64716	65071
0.370556	64257	71342	69328	72538	75561	72101	72005	72466	73361	65572	68457	73319	73271	77007	77911	60769	62267	67008	47021	51029	54216	31474	32231	32510	33477	33378	35093	31880	32256	31968	32337	32252	31990	34388	35200	34660	34167	33419	34468	70569	72992	70619	36901	35963	34723	35203	35381	34680	68947	73180	69711	67936	65460	65071
0.383333	65049	71305	68644	73519	74695	72256	72300	71269	73208	65828	68374	73802	72837	76269	79149	62962	64233	67388	47861	52218	56748	31834	32407	32920	33334	33738	34493	31747	32863	31728	32184	31898	32538	33612	34909	34404	34614	32745	33775	71156	73891	72131	36765	35971	34496	35790	34932	35384	68615	74311	70170	67968	65079	66817
0.396111	64285	71748	70074	73086	75768	72857	72169	72188	72002	65536	67698	73537	73017	76731	79926	65789	65776	68742	49349	53429	57884	33117	31780	32972	33845	33773	34980	31675	32482	31931	32059	31759	32002	33798	35004	34936	34336	32591	34216	71356	72287	71259	36254	35497	35153	35363	35245	34891	68838	73665	70326	68389	64613	65431
0.408889	65574	71539	69765	72823	75810	73174	72923	72062	73005	67406	69085	73672	74094	77427	78869	65941	66942	70023	50255	55791	60635	33231	32571	32666	34188	33425	35151	31479	32833	32041	31884	31930	32513	34395	35613	35284	34492	33641	33946	71809	73850	72501	36419	35333	35079	36340	34816	35610	69335	73112	69838	68766	65178	65670
0.421667	66069	70730	70284	73605	77123	72553	73530	71904	72876	67128	69687	74183	74228	77539	79454	67299	68169	70600	51742	56416	61139	33260	33143	33322	33757	33918	35618	32987	32886	32156	32411	31721	32013	34488	35282	35245	33875	33624	33710	71474	75764	72733	36451	35844	35396	36079	35218	36085	69961	73410	70374	69055	65691	66202
0.434444	66333	71961	70006	74101	76832	72445	73764	73221	73061	67557	70247	74480	73829	78979	79816	68906	68499	71807	52557	58123	61842	33742	32589	32770	33873	34821	35251	32161	33084	32420	31368	31562	32476	34329	34936	34828	35082	33340	34271	73923	74547	74910	37096	35824	36132	36074	35562	35583	69626	72850	70520	68153	65520	67453
0.447222	66444	71739	70428	73952	76082	72891	73727	72785	73012	67615	70382	73250	74282	77766	79698	69264	70570	72390	52930	58618	63798	32879	32641	33326	33900	33816	34801	33067	32432	31877	32210	32494	32216	34242	34941	34417	34535	33224	34343	73047	74777	73859	36356	35501	35085	36723	35006	35115	69217	72806	70198	68692	66520	66359
0.460000	66051	72307	71032	75125	76099	74225	73380	73247	73181	66921	71071	75469	74362	76961	78953	70204	71079	73419	54427	60145	64752	33071	32420	32631	34071	33690	34344	32686	32849	31780	32020	32679	32869	34592	35497	34697	34537	33748	34799	73435	75351	74509	36602	35822	35811	37115	35841	35237	69209	73341	70115	69015	66178	66816
0.472778	66389	71605	71314	73852	75046	72220	73746	72279	73684	66502	70144	74838	74361	78923	79804	71153	71490	74123	55050	62174	66334	32782	32368	32810	34163	33977	35479	33001	32649	32091	33857	31772	31937	34364	35295	35022	34469	34181	33928	74468	75268	75260	35950	36402	35082	37354	35916	35970	69086	73563	70768	69085	65881	67018
0.485556	67695	71908	70856	74259	77231	73424	73610	73059	73388	67914	70662	74021	73960	77943	80233	71751	72721	74938	55183	62479	68545	32957	32522	33093	34058	33882	35157	33276	32788	32825	32819	32366	31445	33946	35857	35295	34916	33972	34407	74682	75047	75637	36546	36510	34805	36364	36817	36004	69350	73007	69535	68209	66639	68105
0.498333	66754	71563	70346	75049	76236	73729	73240	73465	73298	67612	70393	73997	74748	77553	81040	71661	73107	75563	57106	64004	68277	33417	32817	32963	34198	34704	35553	33204	32841	32763	32428	32628	31477	34250	36335	34491	34227	33635	34508	74310	75145	75510	36483	36433	35216	36673	35553	36207	69105	73670	70254	68395	67210	67256
0.511111	67677	71480	70958	75075	76518	72964	73404	73076	73214	67554	71512	75252	74561	78050	80149	72287	73739	75989	57456	65312	69869	33024	32268	33105	33670	34363	35222	32891	32942	32275	33365	32434	32289	34238	35111	34438	34807	34467	34998	75436	75410	75518	36689	36127	35513	36978	36691	36056	68224	73555	70378	68336	66558	66380
0.523889	66141	73094	71372	75327	76928	72374	72934	73062	74216	67195	71544	75458	75289	78632	80686	74468	74485	76106	57764	65474	70268	32981	33119	33440	33706	34875	35273	32780	32682	31981	32612	32337	32279	34416	36038	35462	34285	33818	34635	75278	75642	75590	37177	36858	35715	37738	36098	36002	69165	73383	70044	68408	66872	68180
0.536667	67163	71912	71317	75340	77212	73798	74273	72642	72820	66978	69988	74096	76174	77315	81025	74183	74408	77388	57807	66368	69818	32840	32976	32911	34503	34291	34786	32873	33185	32550	33132	32411	32586	34425	34905	35333	35183	33605	34545	75987	75374	76192	36388	35979	35359	37011	36305	36173	68523	72492	70139	69275	67106	67038
0.549444	66631	72689	72300	74607	75907	73736	74606	72617	74603	67795	70848	75706	75766	78587	81188	74179	75044	77200	60006	65654	71393	33139	32365	33235	34392	34782	34855	32982	33203	32032	33513	32444	32317	34442	35330	34850	34264	34919	34489	75198	75976	77366	36657	36217	35577	36916	36564	35522	69094	72721	70464	68992	66812	68122
0.562222	66426	72698	70890	75090	76527	74487	73079	73508	73375	66931	70439	75167	75438	77923	80156	74717	75027	78243	60263	67492	72004	32995	32761	33197	33867	34124	35270	33192	33320	32183	32688	32587	32825	34753	35105	35065	35036	33990	35090	75090	77050	76482	36774	36627	35648	37541	37136	36391	69022	74026	71067	68315	66935	67017
0.575000	67524	71893	71357	75065	76441	74323	75288	73184	74311	67476	70624	75432	75243	78954	81125	75219	75441	77451	60870	67256	72672	33572	32613	33484	34384	34047	35340	32240	33099	32796	32770	32481	32981	34248	35372	34807	34560	34199	34543	74981	76227	76565	36727	35814	34797	37225	37379	36154	69314	72836	70916	69114	66630	68292
0.587778	67569	72899	71691	75659	76312	73797	75554	73549	74781	68578	71299	74437	76066	78691	80994	75325	75582	79233	61928	68025	72947	33089	33214	33148	34480	35108	35514	32503	32742	32687	32773	32211	32614	34959	35942	35015	34732	34622	34783	76628	75887	76738	36448	35564	35827	36867	37175	35636	68503	72957	70794	69384	66192	68648
0.600556	67593	73069	71801	74608	77568	73712	74038	73864	74310	68471	70790	74921	76327	78661	81566	76360	75805	78863	62020	69345	73283	33195	32709	33436	34086	33830	36031	32823	33424	32033	33317	32397	32559	34955	35507	35717	34662	34352	34440	76169	75998	76462	37106	37719	35285	37435	37001	36657	68637	73942	70187	69146	66400	67551
0.613333	66790	72038	72359	74662	76966	74154	74443	73731	74195	67185	71322	75214	76378	78302	81169	75201	76324	78681	63611	68955	74549	32975	33683	33555	34911	35119	35536	33513	33803	32440	32896	32371	33165	34923	35663	35580	35191	34280	34048	75016	77219	77624	36763	36632	35530	38165	36933	36702	69378	73110	71741	69198	67212	67707
0.626111	67936	72283	71477	75409	77608	73482	74742	73741	75323	67930	71428	74932	74723	79789	81552	76630	75662	78713	63102	70246	74602	33114	33027	33755	35235	34170	35622	33313	33671	32786	33509	32596	33052	35209	36496	35555	35654	34100	34637	75395	76551	77502	36984	36864	35708	37585	36868	36275	69016	72952	71517	69446	66487	68242
0.638889	67879	72761	72270	76224	76681	75352	74906	73532	74796	67672	71280	75817	76510	78612	81635	76222	77445	78701	63304	70575	73669	32960	33462	33218	34771	34684	35919	32767	32732	33047	33101	31946	32840	34931	35936	35117	35619	34470	34833	75045	77347	76017	38004	37151	35469	37273	36252	36061	69135	73702	70330	70029	67422	68631
0.651667	66591	73427	71668	75042	77083	75641	75045	73063	72859	67685	72119	75104	75772	78972	81393	77593	77217	80957	64055	70070	74310	32946	33221	33365	34378	34512	35835	32942	33708	32265	33141	32824	32761	35829	35956	35713	35543	34539	35262	76462	75710	77525	37725	36388	35928	37289	36520	36410	69066	73847	70354	68451	66928	68090
0.664444	67271	72691	71077	74833	77450	74809	75076	73535	74387	67379	71009	75632	75547	78574	80380	76575	76472	79305	64014	70078	74396	32999	33216	34000	34211	34796	35524	33680	33433	33310	33399	32572	32807	35099	36102	35399	34824	34716	34568	77024	75023	76330	37492	36524	34840	37668	36640	37299	69046	72974	70673	69750	67983	67872
0.677222	67613	72473	72399	75682	77100	74890	75171	73506	75057	67977	71151	75856	75974	79937	81383	77037	76964	79229	64686	70131	74149	33258	33814	33979	34364	35170	36105	33323	33574	32654	32976	32449	32854	34909	35888	35347	35273	34911	34683	75805	75416	77367	37132	36577	35949	37200	36826	36734	68947	73701	71209	69403	67243	67542
0.690000	67835	72137	72260	75141	77949	75948	74759	73137	74204	67756	70778	74470	76156	78912	81273	76881	77113	78922	64944	70243	75089	32959	32979	33598	35103	34636	35602	33264	33326	32911	33366	32390	33609	34891	35181	35725	34517	34897	34729	76428	75881	77319	37413	36450	36071	37598	37063	36715	69573	73030	70071	69330	67008	68195
0.702778	67695	72401	71289	75411	77022	74491	74393	72684	74995	67695	70968	75532	75718	78690	81459	76651	77720	79290	65179	71799	75672	33559	32540	33531	35543	34684	35982	33051	33062	32929	33120	32359	33209	34536	35589	35234	34819	34974	34397	75239	76751	76169	37194	36405	36584	37498	36607	36764	69464	72681	70218	69850	67277	68643
0.715556	67195	71385	71881	74710	76978	75083	74427	73745	74982	67464	71396	73678	76207	79083	81592	76982	76680	81065	65314	71796	75477	34050	33573	33723	35308	35202	35839	33103	33330	33425	33240	32188	32696	34513	35525	35431	35066	34999	34853	75889	75894	76579	37448	36711	35533	37661	37211	36930	70205	72419	71141	69316	67888	68736
