Time	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11
0.000000	8488	22077	25919	24971	28269	28789	12228	14712	15855	15180	15448	14655	10886	12967	12805	13148	13139	13133	9699	11537	12180	11620	12026	11798	9422	9992	10252	10105	10270	9780	9707	10317	9656	9792	10290	9968	9318	9508	9672	9839	9360	9557	9749	7938	7932	8183	8233	8316	8873	9374	8964	9252	9386	9591	8721	8516	8507	8628	9015	8693
0.055556	8159	20047	23070	22097	25175	25323	11382	13670	14522	13667	14315	13623	10367	12197	12106	12338	12246	12215	9383	10890	11518	11262	11589	11333	9285	9611	9824	9777	9877	9629	9571	10141	9607	9611	9900	9667	9057	9245	9468	9401	9129	9431	9517	7781	7833	8050	7983	8123	8827	9157	8771	9168	9245	9346	8484	8405	8338	8578	8784	8582
0.111111	8032	19298	22062	21280	24195	23835	11201	13203	14001	13323	13829	13175	10221	12056	11777	11880	11955	11799	9293	10563	11258	10873	11217	10950	8949	9329	9598	9695	9693	9420	9470	9948	9325	9323	9747	9411	8823	9131	9358	9458	9012	9085	9441	7649	7629	7786	7673	8004	8549	8904	8595	8844	9060	9106	8284	8218	8125	8417	8604	8297
0.166667	8041	18902	21548	20829	23639	23161	11117	12944	13546	13029	13402	13008	10208	11680	11458	11555	11598	11573	9117	10362	11155	10731	11142	10860	8928	9256	9498	9480	9495	9271	9223	9711	9188	9263	9530	9361	8640	8881	9000	9177	8819	9091	9264	7559	7608	7708	7579	7942	8488	8950	8546	8929	8884	9104	8287	8284	8060	8310	8542	8309
0.222222	7943	18602	21256	20534	23265	22999	10900	12803	13542	12864	13347	12976	10003	11607	11266	11452	11443	11424	8986	10341	10932	10544	10951	10849	8760	9148	9425	9372	9540	9236	9054	9630	9117	9102	9347	9205	8567	8785	8916	8979	8747	8893	9285	7573	7563	7745	7564	7916	8446	8882	8473	8784	8846	9091	8156	8196	8011	8361	8517	8144
0.277778	7924	18646	21158	20492	22849	22662	10841	12756	13559	12868	13308	12854	10008	11479	11246	11414	11528	11467	9048	10193	11019	10639	10976	10659	8694	9091	9322	9331	9479	9086	9086	9533	9076	9023	9545	9133	8553	8943	8845	9083	8605	8881	9233	7600	7460	7695	7690	7828	8316	8919	8395	8755	8881	8983	8135	8130	8066	8215	8440	8251
0.333333	8076	18587	20883	20391	23121	22650	10901	12754	13501	12913	13432	12903	10011	11386	11150	11379	11509	11433	9061	10218	11047	10565	10904	10594	8803	9029	9326	9283	9560	9140	9018	9557	8927	8944	9521	9046	8492	8736	8888	8956	8580	8731	9204	7523	7542	7723	7733	7783	8265	8843	8426	8725	8732	8961	8096	8163	7961	8272	8559	8305
0.388889	8001	18683	21171	20532	23420	22723	10860	12809	13480	13028	13367	12923	10070	11525	11313	11388	11438	11466	8889	10235	10936	10550	11007	10739	8691	9041	9250	9273	9625	9109	9046	9595	9008	9033	9410	9017	8476	8891	8840	8841	8601	8797	9263	7584	7484	7744	7671	7783	8245	8844	8415	8729	8869	9003	8169	8117	8033	8185	8514	8224
0.444444	7922	18772	21032	20800	23372	22696	10854	12831	13563	12943	13504	13085	9978	11344	11113	11336	11464	11382	8989	10301	10844	10512	11030	10727	8647	9018	9276	9244	9518	9138	9057	9656	8996	9048	9441	9132	8480	8818	8768	9002	8756	8782	9318	7567	7536	7772	7775	7681	8297	8909	8393	8723	8789	8940	8168	8243	7880	8232	8509	8310
0.500000	7898	18611	21056	20790	23351	22803	10959	12744	13560	13144	13822	12919	9880	11496	11127	11362	11546	11366	8916	10389	10833	10485	10951	10713	8653	9054	9337	9306	9633	9106	8995	9636	8992	8948	9433	9115	8401	8884	8971	8965	8543	8860	9226	7585	7485	7741	7689	7978	8380	8904	8405	8590	8747	8858	8178	8223	8055	8142	8520	8243
