Time	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12	H01	H02	H03	H04	H05	H06	H07	H08	H09	H10	H11	H12
0.222222	25497	26989	27512	28102	28543	28755	28290	28001	27308	28440	27744	27523	26184	26828	27355	27780	28174	28366	28847	28733	28216	27781	27421	28260	26364	27579	27848	28678	29243	29834	29048	28986	28529	28320	28005	28296	26520	26647	27968	27568	28535	28607	28691	28027	27966	28169	27841	26766	25963	26548	39641	43882	28045	28254	28250	28402	28025	31489	27310	29723	25761	26000	27098	27282	27977	27483	28278	27489	27924	27406	28802	28289	25165	26085	27506	27374	27946	28001	28091	28387	28321	28006	27722	29233	28010	26506	26237	26102	26802	26812	26343	27262	27085	27226	27138	27397
0.244444	25801	26962	27583	28147	28070	28263	28624	27747	27530	28069	27795	27653	26483	26993	28050	27776	27995	28474	28447	28448	27900	28296	27918	28352	26214	27541	27745	28336	28722	29259	28695	29088	28446	28376	27912	28459	25861	26764	28245	27511	28519	28071	28339	28359	28347	28032	27771	27042	25760	26421	40656	43518	27981	28257	28391	28507	28208	32814	26982	29593	25804	26335	26270	27652	27738	27430	28216	27837	27353	28021	28472	28324	25225	26389	27803	27402	27959	28209	28451	28472	28189	28256	27678	29018	28237	26507	26784	25831	26956	26909	26877	26789	26870	26797	26851	27252
0.266667	25673	26795	27168	27518	28496	28662	28581	28102	27903	28019	27941	27832	26143	27171	27939	27803	28463	28744	28908	28724	28454	28551	27999	28103	26481	27534	27828	28538	28970	29058	28958	29051	28686	28442	27960	28424	25865	26555	28127	27409	28237	28307	28513	27818	28283	28001	27982	26961	25835	26649	41049	43851	27954	28439	28284	28244	28263	35812	27045	30018	25833	26402	26545	27623	27844	28233	27864	27855	28429	28082	28756	28653	25455	26108	27220	27580	27881	28084	28029	28581	27844	28279	27745	28999	28588	26585	25953	25976	27286	26958	26764	26981	26946	27199	27364	27246
0.288889	26093	27309	27387	27687	28165	28480	28855	28414	27594	28484	27661	27944	26039	26829	28241	28055	28389	28497	28601	28165	28271	28269	27886	28148	26068	27534	27560	28637	28901	28739	28869	29266	28635	28847	27794	28036	26376	26749	27857	27630	27963	28561	28658	27892	28315	27888	28054	27366	25454	26127	41561	43545	28035	28254	28747	28646	28229	35136	27282	29639	25721	26313	26512	27157	27782	27549	28175	27473	27974	27807	28474	29084	25940	26069	27331	27693	27777	28282	28330	28412	27417	28410	27911	29532	28410	26349	25972	26576	27044	26505	27022	27267	27052	26948	27357	27155
0.311111	25907	27008	27332	27932	28498	28417	28595	27850	28042	28022	27837	27761	26025	26855	27856	27877	28622	27897	28435	28840	28527	28514	28423	27902	25722	27781	28050	28915	28631	29172	29009	29102	28602	29010	28013	28626	26374	26664	28184	27666	27971	28523	28690	28389	28283	28158	27759	26969	25609	25577	42521	43702	28195	28235	28215	27787	28531	33063	27465	30267	25812	26318	27027	27454	27486	27495	27808	27471	28096	28199	28618	28769	25626	25902	27286	27453	28012	28305	28181	28587	28448	28688	27596	29392	28193	26570	26570	26398	26917	26785	26700	27144	26975	27005	27170	27555
0.333333	25519	27016	26970	28110	28134	28406	28978	27931	27811	27721	27733	27809	25503	26895	27683	28507	28311	28523	28301	28269	27971	28341	28118	27790	25788	27883	27338	28883	29142	29008	28863	29061	28401	28454	27982	28385	26215	26405	27654	27393	27919	28070	28407	28152	28049	28063	27896	27327	25917	26372	42459	43302	28022	27929	29038	28533	28456	31937	27320	29865	26306	26554	26735	27414	27721	27900	28089	27410	28117	27936	28448	28743	25767	26303	27170	27272	28105	28019	28046	28100	27864	28283	27672	29521	27917	26092	26011	26205	26961	26779	26701	27715	27184	27430	27355	27145
0.355556	25830	27170	27781	28044	28327	28345	28735	28008	27809	27889	27467	27763	26170	26951	27806	27956	28231	28776	28454	28294	28101	28030	28048	27915	26220	27554	27227	28808	29009	29038	28795	28830	28762	28823	28119	28625	25951	26629	27881	27172	27887	28554	28006	27940	28553	28380	28007	26500	26341	26510	43416	43028	27875	28321	28361	28224	28340	34823	27162	29911	26318	26402	26405	27164	27473	28021	28354	27434	27665	28126	28630	28591	25772	25818	27609	27240	28414	28569	28136	28183	28021	28804	27819	29430	28103	26257	26733	25966	26958	26989	26862	27042	26895	27509	26989	27466
0.377778	26132	26933	26942	28398	28492	28807	28810	27974	27955	28360	27651	27489	26279	26691	27715	27610	28368	28542	28217	28546	28012	28545	28072	28013	26132	27498	27390	28597	29002	29058	29157	28860	28917	28870	28125	28689	26121	26215	27749	27189	27907	28107	28785	28223	27713	27899	28191	27141	26318	26378	44007	43459	27763	28465	28607	28811	28407	36584	27538	29652	26303	26398	26471	27018	27988	27311	27755	27835	27596	27803	28454	28264	25880	26016	27621	27913	27982	28160	28179	28113	28267	28615	27531	29749	27904	26130	26699	26521	27334	27323	26854	26945	26978	26996	27057	27368
0.400000	25592	26749	27390	28141	28473	28580	28882	28219	27955	28247	27820	27677	26193	26890	27467	28010	28359	28251	28318	28515	28178	28683	28138	28124	26350	27526	27175	28691	28708	29344	28428	29354	28776	28888	27804	28525	26453	26654	28310	27559	27734	28132	28201	28642	27990	28347	27990	27235	26476	26412	43663	43547	28171	28457	28646	28621	28746	35267	27093	30120	26360	26189	26731	27158	27700	28045	27555	28097	28599	28140	28994	28761	25952	26302	27979	27976	28460	28388	27999	28255	28429	28291	27185	29145	28153	26098	26882	26429	27488	26770	26928	27265	26779	27407	26995	27933
0.422222	25800	26707	27292	28367	28479	28486	28676	28273	28280	28438	27556	27458	26270	26943	27942	27876	28287	28519	28361	28507	28014	28118	27820	28000	26217	27243	27676	28397	28907	29187	29128	29395	28940	28740	27868	28515	26536	26951	28164	27279	28245	28520	28958	28189	28481	28341	28096	26684	26616	26684	44096	43377	28177	28452	28248	28668	28553	33925	27718	30545	26352	26533	26763	27453	27589	27535	27995	27834	28242	27930	28396	28450	26166	26412	27513	27850	28332	28490	28299	28007	27871	28433	27168	29625	28565	26434	26553	26605	27175	27178	26936	26993	26911	27448	26671	27751
0.444444	25868	26827	27809	28374	28394	28109	29104	28087	27926	28654	27831	27744	26239	26867	27753	28284	28055	28690	28943	29006	28842	28088	27645	28088	26642	27416	27763	28842	28800	28968	28946	29550	29075	29083	28066	28406	26214	26648	28231	27453	28238	28759	28761	27980	28818	28315	27949	26788	26390	26804	43250	43375	27971	28552	28668	28567	28494	30909	27373	29847	26582	26711	27146	27231	27985	27506	27671	28028	27603	28036	28746	28930	26294	26542	27883	27971	28043	28132	27982	28446	27784	28304	27451	30467	28290	26164	26318	26334	27568	26817	26523	27268	27026	27142	27112	27995
0.466667	25946	26606	27790	28182	28455	28269	28830	28513	27980	28176	27865	27428	26131	26749	28272	27833	28484	28760	28294	28887	28442	28299	28235	28034	26358	27200	27600	28713	29290	29386	28724	29331	28726	28582	27827	28359	26563	27155	28233	28166	28584	28294	28268	28896	28303	27880	28005	26597	26589	27118	43517	43274	27948	28305	28296	28875	29021	33270	27464	30287	26590	26494	27083	27353	28036	27588	28102	27777	27953	28003	28675	28478	25657	26532	28283	28099	28166	28126	28401	28224	27755	28480	27584	30475	28469	26387	26336	26862	27253	26908	26541	26726	26871	27532	26816	28095
0.488889	25676	27282	27892	28314	28920	28692	28884	28320	27932	28578	27548	27129	26615	27185	28010	28047	28382	28084	28828	28724	28055	28418	27696	27674	26434	27490	27565	28942	29150	28967	29113	29400	29291	29089	27774	28434	26896	27001	27967	27568	28054	28318	28477	28487	28319	27942	27896	27054	26887	27217	43266	43847	28161	28406	29056	28630	28404	33739	27444	30412	26009	26755	27034	27428	27712	27605	28340	27825	27970	28151	28705	28311	26451	27007	27734	28321	28088	28346	28264	28261	27962	28453	27686	31161	28189	26255	26708	26474	27359	26549	27215	27345	27239	27472	27310	28067
0.511111	25936	27010	27566	28557	28738	28923	29125	28579	28409	28381	28042	27549	26002	27285	27850	27864	28294	28500	28443	28910	28566	28288	27978	27799	26370	27657	27705	28678	29691	28971	29333	29322	29016	28963	27970	28466	26776	26598	28158	27987	28727	28601	28609	28390	28203	28206	27880	27284	26439	26756	42015	43847	27756	28158	28957	28949	28260	33884	27382	29987	26434	26255	27194	27292	27641	27945	27861	28171	27838	27739	28558	28594	25874	26781	27769	28346	28288	28372	28382	28362	27921	28740	28335	31504	28342	26223	26139	26365	27034	26239	26672	26934	27183	27812	27682	28572
0.533333	26123	26790	27577	28544	29184	28344	29034	28685	28165	28354	27894	27090	25972	26861	28356	28069	28726	28437	28558	28716	28820	28509	27795	27891	26427	27951	27250	28941	29122	29225	29191	29105	29222	28464	27635	28125	26631	27279	27860	27796	28726	28551	28772	28294	28634	28199	28058	27170	26815	27045	42043	44301	27909	28382	28616	29097	28213	33630	27251	30800	26779	26717	27437	27608	28059	27971	28197	28365	27965	28059	28675	28798	26015	26415	28046	28442	28125	28171	28201	28803	28632	28765	28515	31029	28233	26718	26449	26510	27606	26650	27149	27755	27629	27756	27791	28549
0.555556	25673	26611	27352	28344	28318	28736	29150	28290	28138	28893	27698	27273	26256	27344	28141	27964	28434	28524	28761	28736	28759	28194	27668	28342	26760	27560	27290	29310	29533	29594	29502	29608	29028	28298	27704	28412	26725	26833	27916	27459	28169	28493	28825	28362	28075	28307	28068	27623	26724	27046	40757	43937	27975	28609	28868	29459	28951	36349	27880	30407	26403	26466	27240	27289	28245	27997	28283	27980	28052	28054	28953	28910	26152	26244	28183	28902	27790	28446	28736	28314	28752	29453	28612	30809	27838	26187	26493	26503	27598	26808	26896	27777	27918	28097	27731	29018
0.577778	25681	26703	27907	28109	28355	28700	29555	28412	28679	28883	27439	27665	26126	27314	28200	28213	28802	28206	28955	29139	28204	28266	28139	28307	26545	27522	27746	29024	29709	29680	29562	28800	28512	28598	27865	28424	26467	27430	28160	28245	28760	28546	29277	28386	28486	28491	28088	27638	26603	27245	40633	44394	28014	28540	28504	28634	28475	38593	27794	30986	26713	26391	27369	27937	27858	27794	28019	28194	27827	28029	29413	29312	26114	26618	28197	28731	28150	28187	28927	28698	28785	29323	28820	31630	28142	26617	26411	26953	27388	26668	27016	28000	27513	28028	27813	28780
0.600000	25657	26719	27798	28594	28942	28656	28934	28733	28116	28396	27665	28189	26088	27245	27934	28113	28884	28555	29190	28995	28520	28092	27991	28507	26697	27885	28195	29158	29764	29341	29263	29646	28969	28628	28382	28926	26912	27660	28406	27734	28738	28775	28566	27975	28768	28544	28102	28061	26354	27344	40487	44490	28305	28639	28955	29227	28602	39306	28055	31085	26919	26840	27514	27716	27885	27854	27995	28294	28428	28138	29314	29492	26550	26666	28296	28344	28136	28540	28985	29014	28856	29755	29072	31094	28301	26489	26476	26902	27410	27149	27451	27901	27979	28262	28322	28982
0.622222	25690	26687	27887	28397	28699	28445	29071	28661	28564	29206	27973	28378	26131	27449	28345	28160	28745	28663	29577	28875	28462	28461	27984	28953	26633	27691	28175	29486	29050	29157	29267	29518	29269	28523	28112	28986	26280	27189	28573	28081	28721	28781	29053	28451	27959	28563	28140	28142	26548	27108	40654	43995	28134	28728	28915	29189	28428	39417	27917	30986	26394	26911	27772	27727	28285	27827	28087	27979	28444	28737	29819	29951	26278	26719	28192	28365	28517	28473	29342	29916	28775	29752	28687	32528	28565	26625	26610	26740	28009	26952	27546	27802	27950	29014	28768	28559
0.644444	25547	26462	27862	28312	28495	28548	29156	28409	28231	29137	28269	28327	25634	27870	27967	27953	28570	28749	28786	28673	28897	28555	28236	29233	26311	27732	27712	28838	29664	29695	29269	28888	29434	28836	28422	28811	26513	27705	28452	28024	28309	28501	28878	28000	28416	28357	28187	28069	26545	26910	40277	43718	28354	28634	28976	28818	28957	37056	28425	30809	26562	26996	27370	27371	27537	27991	28544	28177	27681	28221	30093	29687	26212	26652	28328	28118	28409	28600	28896	29389	28819	29744	28798	31138	28485	26426	26172	26601	28141	26884	27609	28167	28436	27911	28341	29122
0.666667	25428	26546	27780	28278	28334	28824	29357	28421	28756	28944	28397	28837	25722	27289	28060	27724	28885	28633	28946	28862	28930	28854	28111	29200	26567	27778	27867	29027	29672	29670	29257	29230	29743	28626	28569	29174	26393	27059	28644	27818	28135	28590	29003	28150	28538	28597	28199	28051	26539	27357	39793	44606	28366	28475	28863	28678	29182	33854	28224	31353	26507	26770	27362	27600	28004	28218	28082	28343	28481	29124	29961	29682	26170	26789	28251	28193	28050	29071	29568	29223	28900	29648	29087	31627	28225	26503	26246	26056	27712	27067	27529	28083	28126	28675	28563	28949
0.688889	25676	26497	28112	28028	28143	28752	29103	28468	28607	29037	28360	28845	25523	27463	28108	28097	28473	28514	28575	28981	28747	28613	28947	29500	26434	27694	28262	29128	29507	29240	29085	29181	29224	28726	28582	29479	26639	27046	28362	28175	28171	28531	28929	28632	28603	28981	28830	27956	26636	27321	40045	43915	28369	28389	29074	29031	28892	34641	28415	31029	26443	27101	27343	27725	28007	28034	28544	28367	29011	28596	29496	29446	26111	26577	28208	28654	28510	28907	29955	29472	29132	29625	28993	32510	28283	26470	26549	26803	28186	27389	27804	28371	28402	28205	27994	29097
0.711111	25094	26514	27698	28427	28797	28365	29171	29028	28431	29289	28518	28793	25700	27568	28090	28555	29074	28734	29126	29337	29103	28627	28848	28926	26528	27691	28073	29124	29708	29470	28868	29505	29577	29390	28519	29461	26829	27339	28361	28119	28252	28829	28995	28778	28871	29015	28496	27697	26822	27257	39357	43837	27873	28607	29119	29140	29337	32494	28451	31160	26823	27042	27442	28295	27910	28246	28138	28706	28977	29086	30081	29457	26298	26765	28053	28420	28692	29501	29535	29533	28994	29938	29273	31548	27836	26307	26486	26422	27617	26894	28243	28843	28494	28534	28353	28979
0.733333	25580	26509	27864	28222	28365	28565	28993	29052	28899	29918	28770	28382	25871	27253	28515	28215	28350	28865	28866	29358	29311	29076	28993	29577	26716	28026	28568	28899	29509	29588	29469	29779	29903	29189	28583	29001	26758	27191	28846	28217	28570	28364	28958	29246	29129	29506	29098	28216	26728	27120	40046	44349	28147	28811	29336	29708	29816	42713	28379	30961	26799	27476	27730	27908	28014	28488	28874	28790	28855	29157	30098	29423	26246	27029	28149	27960	28851	29357	29652	29373	28993	29508	29129	31444	27953	26278	26227	26754	28100	27564	27864	28305	28358	28979	28524	28911
0.755556	25772	26217	27867	28307	28463	28789	29155	29391	29374	29722	29281	28397	25512	27543	28234	28661	28374	28801	29317	30051	29209	29501	29333	29259	26962	27856	27878	28994	29432	29362	29173	29748	29927	29707	28807	29228	26654	27455	28258	28197	28223	28899	29608	28646	28780	28955	29202	28028	26771	27444	39485	44492	28052	28544	29581	29666	29450	43070	28715	31440	26622	27234	27471	28239	28184	28260	28541	29002	29199	29177	30151	29561	26401	26438	28287	28095	29247	29336	29611	29714	29846	29817	29207	31516	28042	26584	26607	26730	28045	27297	27955	28346	28182	28533	28895	28797
