Time	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12	H01	H02	H03	H04	H05	H06	H07	H08	H09	H10	H11	H12
0.222222	13030	12323	12367	11995	11885	12576	11931	11909	11711	12299	11880	12092	13104	12434	12921	12050	12455	12030	12297	12020	12079	12227	11920	12143	21225	14091	12108	11980	14273	13654	12962	12384	12073	12059	13468	11760	13008	12733	12963	12433	12304	12295	11978	12291	11966	12008	11771	11861	12967	12632	12377	12299	12355	11849	12171	12632	11537	11550	12393	12050	14765	14088	11835	11725	11962	12055	11814	11751	11941	11684	11884	11769	13703	12623	12016	12252	12017	12307	12408	12223	12157	11899	12185	12327	13327	12251	11745	12384	12111	12282	11868	12166	12091	11928	11581	13286
0.244444	13221	12597	12392	12099	12264	12492	12169	12037	11832	11908	11903	12079	13478	12719	12808	12325	12718	12061	12281	11951	12310	11985	11646	12037	21031	13393	11929	12078	14341	13420	12716	12334	12342	11961	13514	11821	12982	12639	12993	12403	12658	12377	11944	11788	12055	11937	11829	11763	12993	12635	12339	12154	12544	11942	12086	12739	11951	11736	12382	12105	14825	13977	11643	11544	11836	12319	12042	11552	11953	11571	12378	11845	13536	12217	11886	11955	11989	12328	12658	11959	12270	11880	12039	12320	13359	12228	11660	12220	12312	12289	12061	11936	11935	12139	11726	13167
0.266667	13259	12337	12230	11772	11850	12647	11963	11576	11714	11977	11794	11875	13372	12521	12966	12282	12323	12084	12180	11793	12102	11841	12042	11770	21091	13118	12153	12100	13976	13334	12700	11900	12140	12115	13784	11678	13108	12654	12767	12564	12151	12064	11771	12051	12010	11987	12015	11738	13287	12568	11982	12230	12189	11842	12178	12623	11593	11799	12302	11735	14479	13573	11625	11661	11765	11964	12042	11528	11834	11717	11999	11831	13640	12234	11937	12009	11719	12120	12415	11730	11939	11590	11893	12299	13860	12012	11659	12366	12113	12409	11831	12101	12178	11721	11777	12946
0.288889	13358	12316	12091	11623	11721	12673	11852	11632	11761	11988	11805	11900	13189	12527	12585	12099	12179	11852	11976	11875	12328	12170	11767	12061	21286	13203	11959	12334	14321	13304	12974	12280	11971	12069	13508	11901	13083	12605	12986	12036	12479	12068	11645	12089	11953	12215	12002	11793	12996	12703	12537	12050	12216	11817	12156	12498	11735	11715	12238	11947	14646	13734	11529	11660	11774	11919	12018	11639	11772	11810	12306	11866	13460	12418	12152	11932	12194	12063	12650	11837	12079	11710	11993	12500	13640	12190	11745	12011	12179	12147	12082	11877	11860	12008	11737	13185
0.311111	13248	12452	11981	11914	12073	12289	11881	11991	11942	11962	12018	12288	13266	12488	12677	12283	12048	12295	12335	11850	12242	12191	11641	11971	20924	13109	12175	11997	14537	13259	13084	11928	12169	11983	13388	11782	12847	12993	12692	12321	12271	12115	11513	12148	12175	12044	12018	11881	13218	12420	12119	12139	11998	11573	12000	12763	11633	12044	12176	12153	14660	13707	11712	11714	11649	12026	11636	11631	11738	11782	12093	12054	13447	12477	12071	11868	12132	12305	12436	12029	12487	12030	12117	12475	13789	12038	11809	12087	12136	12757	11935	12082	12217	11674	11894	12861
0.333333	13148	12529	12175	11875	12043	12341	11948	11625	11700	11976	11943	11928	13173	12342	12618	11970	12160	11887	12157	11781	12254	12067	11411	12084	21131	12896	11992	12122	14360	13406	12790	12334	12290	12152	13751	11829	12740	13006	12634	12386	12318	12200	11886	11990	12078	12055	12058	11887	12943	12567	12015	12333	11961	11781	11983	12670	11866	11865	12064	12064	14471	13593	11737	11555	11677	11831	12040	11651	11757	11991	12115	11882	13487	12256	12109	12034	12140	12408	12490	12099	12344	12099	12129	12349	13704	12164	11989	11983	12269	12408	12097	11997	12143	11821	11804	13129
0.355556	13298	12377	12116	11997	11902	12152	11992	11569	11819	11768	12026	12179	13173	12318	12649	12198	12093	12184	12060	11640	12400	12009	11662	12009	21318	13022	12062	11921	13970	13663	12816	12332	12037	11925	13890	11869	12666	12805	12640	12156	12441	11926	11705	12116	11998	12021	12097	11521	13302	12392	12395	12291	12257	11791	12293	12556	11626	11921	12172	11959	14782	13560	12053	11653	11723	11980	11778	11752	12025	11833	12107	11756	13713	12362	12090	11917	11924	12114	12309	12311	12049	11844	11736	12361	13938	12258	11924	12154	12495	12426	11975	11828	12277	11969	11685	12826
0.377778	13608	12343	12217	11713	11979	12289	11959	11843	11937	12132	11946	12160	12981	12548	12700	12007	12296	11903	12042	11848	11876	12114	11648	12427	21182	12802	12058	11670	14080	13559	13097	11935	12235	11997	13603	11911	12759	12939	12765	12248	12268	11928	11815	11886	12197	12051	11916	11775	13072	12497	12430	12364	12202	12008	11801	12460	11729	11813	12572	12171	14695	13824	11850	11647	11824	11947	12016	11885	11714	11998	12263	11858	13433	12299	12378	11989	12154	12049	12480	12178	12279	12348	12055	12298	13861	12285	11560	12209	12168	12399	11926	12246	11979	11798	11876	12760
0.400000	13346	12551	12441	11709	11685	12716	12044	11795	11851	12056	11679	11908	13085	12462	12296	11871	12248	11838	12204	11932	12131	12212	11569	12269	21871	12873	11817	12063	14266	13663	12861	12166	11946	12291	13889	11973	12647	12522	12756	12145	12118	12124	11711	12293	12051	12243	11839	11998	12755	12611	12219	12304	12272	11727	11971	12455	11597	11911	12518	12207	14514	13475	11900	11541	11623	12012	11817	11702	11929	12021	12014	12021	13895	12651	11943	11719	12157	12229	12355	12206	12201	12129	12087	12406	13922	12118	11854	12481	12464	12325	11936	11805	12257	11869	11682	13121
0.422222	12958	12387	12150	11869	11859	12155	11817	11681	11420	12068	11942	12092	13082	12260	12763	11958	12262	12120	12068	11987	12277	12090	11663	12158	21721	12788	12149	11918	14273	13480	12531	12169	12243	12106	13892	11728	12375	12534	12876	12100	12312	11758	11586	12040	12155	12191	12016	11949	13122	12662	12387	12323	12236	11759	11878	12795	11828	11606	12554	11910	14720	13706	11851	11377	12111	11874	11789	11695	11793	11786	12253	12080	13480	12360	12308	12025	11834	12217	12255	12028	12189	12058	11969	12741	13808	12395	11941	12466	12051	12625	12007	12036	12437	12033	12113	12957
0.444444	13009	12276	12080	11821	11637	12338	11588	11900	11682	12170	12038	12037	13036	12372	12545	12368	12085	11848	12032	11993	12198	12138	11647	12253	21332	12891	11972	11819	14424	13613	12722	12192	12269	11817	13813	12197	12832	12964	12582	12225	12417	12071	11646	12035	12006	12262	12011	11948	13120	12415	12302	12177	12035	12002	11585	12540	11890	11615	12535	11907	14176	13656	11865	11802	11919	11924	11727	11881	11460	11839	12154	11976	13299	12277	12143	12218	11880	12213	12391	12104	12052	12042	12244	13086	13877	12345	11903	12284	12791	12072	12346	12075	12211	12394	11941	13236
0.466667	12981	12312	12005	11781	11892	12603	11731	11559	11671	12055	11902	11990	13051	12337	12547	12250	12281	11847	12211	11901	12586	12089	11729	12061	21766	12679	12274	11951	13943	13614	12746	12185	12325	12354	13529	11741	12863	12879	12573	12473	12670	11969	11606	11878	12205	11901	11978	11828	13271	12753	12032	12332	12119	11769	11937	12776	11921	11742	12342	11905	14416	13502	11735	11628	11665	12065	11595	11734	11842	11921	12188	12089	13596	12562	12147	12019	12111	12239	12543	12087	12187	12061	11845	13607	13835	12473	11961	12149	12423	12268	12419	12056	12603	12153	12287	13487
