Time	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12
0.430833	16160	14831	14935	15145	15125	15863	15227	15046	15830	14823	14498	17489	17064	16360	16245	17080	16576	16950	19553	20089	18203	20355	19524	24633	22402	22273	22778	22771	22492	22495	35987	35905	36191	35688	34789	35524	70651	72027	73190	72422	78681	75017	15506	15102	15706	15577	15067	14868	15391	16384	15683	16852	15983	16550	16081	16179	15855	17116	15820	15960	17378	17408	16440	16832	19321	17297	18496	19361	19042	19483	18835	19881	26307	25998	26600	26614	26599	29626	54496	61942	54106	54195	53203	54892
0.470000	17219	16117	15289	16085	15963	16072	15439	15538	16067	15090	14549	17895	17197	17011	16595	18057	16808	17272	19696	18844	18253	20851	20050	25118	23142	22983	22525	22847	22690	23172	36349	36512	36131	35890	35440	36572	71844	71897	73430	72385	78653	75491	16224	15406	16398	15582	15561	15160	15782	16760	16571	17065	16225	16973	16563	16053	16032	17754	15952	16241	17357	17973	16555	17418	18918	16885	19022	19983	19498	19600	19064	20073	26262	26356	27003	26795	27146	29571	53455	62535	55146	54022	53728	54709
0.509167	18942	18495	16220	16791	16748	17665	15653	15879	15773	14740	14572	17879	17185	17189	16829	19284	17492	17891	20362	19907	18556	20729	20302	25945	23076	22929	23049	23733	23314	23324	36646	36441	36571	36451	35437	36215	71803	73227	73632	73062	78730	75615	16740	15898	17324	15784	15508	15586	15808	17163	16469	17498	17220	17787	16825	16646	16873	18087	16462	16547	17810	18304	16945	17770	19268	17479	19195	19866	19864	20698	19809	20293	26867	26907	26810	27425	26985	30127	54211	62521	54787	54957	53109	55393
0.548333	20833	22378	17365	18175	17558	19699	15827	15776	16368	15657	14627	17503	17574	17683	17036	19952	17717	18036	20183	19974	19139	21109	20616	25733	22974	23290	23320	23790	23634	24175	36759	37050	36480	36532	36064	36763	71574	72726	73438	72978	79111	75848	17129	16422	17017	16473	15579	15997	15992	17024	17051	17948	17060	17854	17308	17116	17080	17652	16134	16855	17956	18278	17227	17971	19781	17939	20216	20406	19988	20620	20050	21071	26762	26379	27271	27230	27852	30671	53845	62892	55061	55461	53163	55203
0.587500	24234	28069	18980	19380	18347	21882	16302	16244	16546	15315	14717	17511	17680	17708	17488	20077	18340	18226	20927	21770	19079	22025	20557	26127	23898	23599	23713	24554	23949	23972	37112	37377	36806	36298	36275	37409	71741	73426	73319	73035	78834	76592	17685	16837	17800	16734	16187	16439	16463	18186	17308	18566	17392	18054	17912	17163	17091	18039	16933	16928	18188	18661	17301	17971	19715	18116	19810	19955	20448	20346	20016	20502	26695	26535	27255	27797	27846	30616	53994	62943	55721	54991	54410	54665
0.626667	30696	37812	21674	21501	20232	26876	16726	16466	16780	15498	15306	17378	17897	17905	17445	19355	18531	18095	20425	21551	19006	21335	20327	25753	23755	23297	23295	23558	23552	24314	36755	36914	36921	37098	36077	36827	72158	73091	73980	73404	78857	76575	18011	16901	17540	16825	16169	17154	16407	18131	17773	18176	17109	18148	17685	17189	17054	18268	17101	16651	18030	18585	17547	18285	19951	18336	20009	20312	20184	20349	20180	20545	26465	26200	27301	27735	27239	29983	54855	63059	55630	54810	54255	55152
0.665833	37658	47497	24889	25473	22303	33519	16938	17206	17489	15920	14621	17472	17855	17846	17748	19790	18828	18486	20864	22051	19086	21093	20450	25909	23752	23905	23623	23958	23792	24515	36474	36646	36332	36748	35800	37527	71915	73070	74428	72410	78452	75589	17765	17404	17847	17092	16455	17498	16200	17388	17488	18198	17302	17739	17651	17114	17542	18129	16659	16456	18521	18414	17681	18149	19689	17917	19785	20263	20317	20752	19207	20444	25956	27227	27073	26420	26936	29960	54470	61975	54778	54778	53497	54440
0.705000	48727	61012	29049	31285	24918	39767	16992	17234	17507	15720	15381	17259	17271	17427	17462	19787	18627	18834	20614	23919	19098	20913	20710	24570	22905	23595	23463	23539	23374	24712	36062	37062	36933	36425	36040	37052	72520	72540	72361	73675	78314	75172	18082	17523	17657	17064	16104	18696	16686	17955	17112	17835	17373	18284	17652	16650	17472	18070	16745	16636	18123	18509	17576	17619	20002	18369	20304	20235	19858	20308	20146	20485	26262	26850	26761	27264	27313	29792	53426	62058	54561	54438	53050	54431
0.744167	60232	74672	34766	38291	28875	49639	17564	17215	17405	16336	15477	17306	17190	17094	17170	19142	18709	17890	20219	22774	19081	21280	20591	24620	23002	23256	22851	23789	23382	24249	37026	36922	36902	36256	35300	36888	71412	73028	73176	72556	77941	74361	17649	18025	17151	16831	16271	20036	15974	17384	17207	18078	17461	18032	17283	16835	16783	17944	16820	16188	17936	17880	16951	18055	19460	18086	19454	20152	20260	20213	19643	19699	25862	26437	26493	27115	27014	29834	53918	62090	54666	55187	53694	54613
0.783333	71623	91181	41912	47510	35225	60569	17457	17089	17864	16553	15280	17136	16917	17068	17497	19523	18690	17810	20095	21202	18715	21179	20522	24300	22470	22887	23355	23522	23001	23553	35548	36248	36997	35902	35612	36910	72110	72184	73336	72923	77065	75757	17443	19100	17658	16653	16179	21180	16017	17341	17076	17607	16793	17468	17242	17267	17193	17863	16468	15920	17579	18018	16950	17856	19320	17230	20072	19833	19954	20129	19518	20076	26347	26147	26363	26935	26721	29475	53656	61510	53857	54639	53095	53927
