Time	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12	H01	H02	H03	H04	H05	H06	H07	H08	H09	H10	H11	H12
0.216944	16022	15576	15531	16723	16217	18754	15703	16438	15992	15511	16401	15426	15471	15966	15703	16062	16499	16493	16093	16053	15852	16042	15952	16000	15607	16965	16426	16481	16290	16517	16627	16427	16358	16513	16026	15877	16188	16633	16991	16513	16805	17191	17676	17294	17079	17233	17087	17118	17537	18136	18745	18676	18684	19429	22567	22219	22040	22587	21434	20996	25418	26426	26526	26773	26852	26732	38175	38541	39131	38180	39710	37379	61748	66397	62233	66172	64001	61732	15932	17504	15523	14636	14421	14187
0.236667	15793	15731	15574	16812	15648	18139	15874	15951	15912	15625	16247	15475	16049	16034	15831	16069	16076	16278	16355	15824	15702	15913	16062	15567	15597	16863	16342	16363	16443	16109	16467	16223	16033	16324	15959	15524	15721	16555	17147	16143	16783	16717	17758	17295	17246	17051	17273	16767	17714	18086	18250	18386	18693	19303	22453	21860	21910	21802	21286	20960	25724	26171	25804	26564	27281	27094	38767	37814	38774	38521	39699	37685	62051	65179	61374	66456	63106	60924	15676	17227	15081	14892	14321	13892
0.256389	16045	15948	15845	17325	16281	18787	16239	16316	15573	15944	15771	15621	15283	15915	15858	16286	16030	16007	15844	16228	16300	15879	15398	15799	15388	16854	16498	16156	16653	16037	16402	16761	16364	16669	15894	15786	16361	16612	16999	16721	17078	16801	17675	17187	17089	17094	17385	16460	17209	18081	18364	18529	18633	18775	21885	21983	21788	21654	21367	20854	25600	25631	25600	26016	26667	26083	38488	37417	38750	38626	39634	36936	62418	65687	61566	66048	63709	61360	15755	16963	14858	14814	14284	14069
0.276111	15663	15511	15743	16896	16072	19129	15847	16085	16032	15892	15955	15620	15519	16059	15766	16083	16362	16548	16070	16151	16137	15852	15760	16024	16125	16965	16122	15829	16761	15852	16863	16282	16390	16104	15938	15849	15877	16136	16927	16623	16198	16678	17193	16982	17259	17020	17101	16441	17796	18030	44938	18460	18494	18813	22131	21273	21366	21393	20817	20544	25698	25503	25300	25995	26509	25889	37765	37293	37966	38156	39717	37307	62716	65581	61891	65511	63716	60282	15711	17193	14985	14700	14170	14211
0.295833	15986	15810	15790	17585	16095	18384	16118	16228	15904	16076	15964	15384	15551	15720	15923	15853	16349	16014	16158	15936	15829	16000	15713	15748	15745	17432	16202	16444	16551	15867	16510	16520	16096	15974	15982	15700	15592	16205	16969	16117	16642	16576	17191	16916	16872	16670	16731	16657	17617	17883	27434	18319	18558	18722	21341	21638	21164	21439	20916	20189	25911	25691	25490	25581	26550	26312	37564	37184	38606	38106	39986	37300	63220	65469	62129	65160	63686	60928	15884	17284	15063	14846	14259	14761
0.315556	16074	15545	15561	16825	15901	18064	15928	16039	15881	15684	15999	15786	15429	16146	15624	16480	15797	16003	16321	15750	16027	15798	15863	15768	15549	16923	16167	16323	16302	16657	16548	16357	16273	16226	16046	15863	15739	16382	17100	16212	16310	16605	17290	17089	17104	16592	16699	16484	17191	17659	28134	17797	18412	18410	21469	21221	20828	21253	20792	20429	24875	25290	25591	25522	26069	26042	37880	37236	38167	37979	39615	37333	62684	65802	62391	66004	63258	60884	15920	16936	15361	14755	14184	14463
0.335278	16046	15850	16285	16678	16137	18027	15949	16302	15605	16020	16213	15482	15876	15878	15668	16020	15998	15919	16148	16006	15842	15726	15993	15927	15806	16690	16070	16316	16206	16232	16746	16285	16042	16017	15656	15721	15802	16242	16882	16320	16280	16427	17655	16775	16930	16531	16828	16523	16930	17810	30326	18096	18160	18263	21290	21003	21012	21231	20378	20512	25567	25467	25335	25606	26182	25695	37511	37108	37353	37604	39394	37417	63114	65830	61953	65270	63868	61484	15538	16863	14704	14957	14482	14509
0.355000	16117	15977	16215	17092	16320	18730	16263	16030	15962	15885	16368	15769	15731	16042	15797	15639	16024	15746	16374	15821	15772	16025	15753	15517	15527	16715	16021	16372	16142	16318	16391	15926	16206	16257	15914	15786	15766	16281	16697	16289	16221	16262	17387	17081	16535	16750	16964	16158	17081	17871	24558	17941	18199	17894	21649	20967	20592	21027	20890	20564	25033	25373	25547	25290	25999	25638	37233	37512	37846	37874	39929	37395	63856	67140	61731	66641	64239	61708	15977	16956	15520	15137	14585	14531
0.374722	16420	16033	15996	16950	15776	18201	15925	16005	15633	16328	16418	16033	15513	16407	16191	15688	15947	16263	15866	16013	15640	15893	15630	15694	15560	16583	16102	16413	16026	16410	16154	16146	16536	15942	15744	15881	16186	16579	17217	16480	16094	16409	17007	16562	17009	16729	16813	16169	17023	17819	32666	18024	17968	18357	21446	20923	20928	21126	21095	20839	25474	25345	25432	25289	25916	25742	38018	37500	38397	38242	39927	38042	64670	66790	63390	68108	63832	61537	15861	17510	15268	14966	14785	14740
0.394444	16262	15925	16209	17207	16019	18264	16255	16212	15874	15998	16652	16022	15832	16158	15872	15938	16116	15742	16270	15970	15506	16235	16156	15892	14896	17267	16003	16370	16292	16474	16368	16599	16265	16148	16015	16037	15556	16366	16649	16624	16592	16701	17081	16620	17183	16683	16357	16176	16956	18188	19020	17939	18347	18238	21067	20946	20829	21523	21448	20814	24992	25412	25734	25676	25805	25688	37809	37723	38524	38537	40688	38241	64713	67006	62558	67479	64548	62394	16037	17183	15439	15312	14668	15182
