Time	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12	H01	H02	H03	H04	H05	H06	H07	H08	H09	H10	H11	H12
3.392222	64924	53992	55857	58101	51031	55001	16251	16001	16073	15910	15854	15629	15374	15981	15716	15880	16681	16621	16414	15809	15878	16048	15924	15975	15238	16976	15978	16160	16489	16148	16324	16041	16215	16270	16173	15587	15598	16545	16173	16263	16060	16272	16964	16998	16788	16307	16125	16199	17814	18055	18269	18171	18404	18527	23264	22691	22886	22955	22949	22869	33621	30633	30697	30455	30847	30615	47220	47091	48137	48769	51868	47777	92553	84631	79007	85813	79360	78368	18189	20304	15682	15935	14817	15033
3.411944	67101	54356	57405	59844	53214	56745	16120	16003	15822	16117	16006	15781	15497	15917	15933	16327	16190	16356	15761	16279	16037	15815	16084	15969	15672	17213	16169	15963	16105	16346	16464	16212	15912	15612	15937	15652	15501	16353	16411	16708	16290	16406	17011	16649	16752	16759	16772	16732	17772	18378	18323	17912	18255	18223	23219	22629	23088	23070	22960	23039	33130	30973	30683	30961	31029	30964	47213	47434	47987	48091	52004	47573	90581	84039	79400	84680	78995	77702	18503	20628	15594	15927	14864	15340
3.431667	66464	53729	56646	61392	52194	56040	16070	16361	15963	16059	15908	15521	15135	16030	15876	16123	16218	16184	16027	16271	16338	16127	15768	15772	15815	16999	15856	16242	16002	16672	16083	16085	15913	16042	15717	15322	15912	16744	16816	16118	16641	16338	16604	16662	16942	16809	16467	16597	17772	18288	18524	17996	18228	18655	22815	23164	23142	23559	22949	22875	33403	30794	30722	31025	30484	31105	47112	46412	49053	48552	51622	47433	91286	84570	79606	83869	78872	77805	18290	20212	15961	15792	15016	15305
3.451389	68039	54355	55410	59246	51640	56892	16073	16129	16053	15806	16211	15836	15404	16083	15902	15894	16229	16255	16359	16493	16164	16121	16204	15895	15438	16942	15714	16212	16353	16113	16108	16287	15917	15892	15789	15753	15533	16332	16479	16584	16015	16792	17070	16743	16696	16961	16503	16568	18067	18371	18188	17865	18343	18302	22788	23112	23226	23016	22790	22561	33019	30303	30556	31151	31138	31881	46786	47022	47719	48135	51590	47602	92133	83437	79099	85534	79920	77087	18147	20002	16474	15846	14897	14973
3.471111	67747	54512	57016	62727	54653	56850	16430	16163	15811	15990	16489	15639	15711	15968	15946	16172	16326	16492	15780	16262	15940	15772	15503	15739	15742	16809	15906	16263	16654	16486	16208	16225	16567	15706	15693	15653	15787	16509	16460	16376	15726	16356	17161	16576	16592	16662	16521	16272	18200	18262	18475	18142	18485	18787	22724	22905	23342	23039	23240	23199	33058	31350	30465	31022	31372	31400	47608	47320	48031	48192	51874	47373	92349	85037	79634	84875	79751	77582	18290	20126	15829	15891	14875	15222
3.490833	67205	54255	57362	58671	53996	56214	16049	16365	15995	16306	15972	16018	15295	15820	15940	15927	16120	16393	16076	16191	16234	16004	15733	15754	15526	17042	15878	16268	16418	15983	16464	16298	16112	15966	15626	15675	15447	16605	16777	16197	16280	16535	17118	16807	16809	16508	16611	16607	17777	18119	18393	18311	18305	18872	22981	22578	22888	22893	22714	22964	33172	30862	31010	30619	31149	30896	47658	46917	48741	47824	52734	47726	90752	85198	78681	84557	79280	77649	18083	20154	15887	16241	14649	14932
3.510556	68614	55555	57081	61637	55309	57243	15810	16221	15784	15883	16007	15787	15037	16211	15658	16347	16614	16161	16068	16246	16005	15913	16167	15668	15323	17180	16334	15842	16230	16586	16622	15742	15985	15981	16082	15758	15557	16328	16752	16226	16337	16016	17292	16716	16723	16868	16589	16591	17656	18364	18057	18322	18328	18725	23317	23009	23410	23534	23415	22681	33314	30539	30915	31289	31597	30849	47717	47308	47885	48321	52320	47920	91423	84908	78969	84583	78300	78631	18352	20495	16077	15821	15262	15024
3.530278	67513	57807	56725	62630	53289	55937	16331	16206	15622	15651	16081	15330	15661	15933	15839	15960	16632	15941	15760	16142	16086	15874	15875	15579	15488	16897	16307	16199	16340	16423	16632	16265	16062	16104	15918	15685	15861	16557	16289	16109	16186	16328	17299	16434	16679	16523	16755	16202	17858	18211	18233	17986	18320	18351	23249	22680	23123	23201	22860	22795	33092	31627	30958	30861	31086	31136	48349	46895	48283	48400	51612	48434	91332	85000	79740	84658	78910	77888	18566	20216	15894	16073	14638	15219
3.550000	68455	55658	57745	60972	54966	57125	16573	16363	15685	15909	16554	15697	15127	16358	15786	16037	16383	16414	15982	15999	15938	15691	16097	15754	15493	16652	16158	16123	15906	16203	16311	16050	16224	16192	15968	15708	16066	16491	16503	16213	16208	16161	16983	16514	16766	16675	16763	16841	17688	18309	18411	17977	18224	18196	23022	22881	22861	23110	23016	22797	33374	30953	30633	31014	30934	30909	47247	47435	47725	48803	51305	47923	93117	85108	78162	84217	79453	77487	18432	20426	15645	16130	14497	15073
3.569722	68845	55615	59641	60150	55113	56349	16663	16319	15722	16409	16039	15711	15635	16124	15656	16195	16251	16383	16075	16167	16073	15851	15590	15483	15509	17195	15888	16222	16136	16028	16115	16232	16066	15920	15971	15833	15541	16599	16814	16383	16187	16646	17062	16754	16770	16352	16666	16045	17770	18293	18350	18198	17866	18033	23236	22867	23120	23482	23065	23188	33082	30841	30376	31340	31229	31312	47552	47517	48585	48670	51522	47601	91355	84630	79753	85957	80024	78016	18837	20349	15821	16082	14535	15183
3.589444	68788	56994	60542	61970	56152	56642	16218	15801	15440	16080	16793	15706	15525	15992	16196	16174	16163	16559	16319	16357	16030	15932	15864	15750	15551	17186	15925	16197	16048	15941	16096	16626	15776	16010	16018	15669	16025	16131	16622	16293	16273	16385	17286	16877	16793	16769	16942	16211	18271	18392	18459	18364	18046	18429	23098	22842	23096	23222	23247	22888	33541	30817	30399	31509	30957	31618	47221	48011	48618	48673	52495	47582	92228	84932	79833	85176	80104	77770	18401	20411	16507	16279	14963	14951
3.609167	67330	57128	59610	61250	55523	57186	16153	16282	15791	15680	16532	15727	15293	15834	15795	16055	16304	16151	16026	16139	16252	15957	16167	15828	15314	16704	16287	16411	16021	15924	16437	15965	16174	15910	15795	16009	15667	16441	16529	16215	16297	16507	17112	16514	16711	16856	16270	16350	18042	18575	18469	18038	18248	18126	22857	23072	23027	23308	22534	23141	33502	30884	30939	30654	31250	31056	47364	47934	48547	48591	51947	48065	91999	84956	79773	85967	80139	78646	18448	20338	16268	16237	14731	15052
3.628889	71063	56853	59494	63427	56414	56761	16254	16430	15850	15893	16445	15575	15669	15827	16142	15743	16142	15939	15913	16224	15731	16010	16006	15574	15338	17263	16173	16212	16416	16212	16451	15886	15894	16132	16060	15821	15454	16926	16577	16081	16214	16570	17211	16274	16565	16567	16369	16311	18100	17940	18212	18073	18370	18315	23438	22859	23194	22909	22788	22619	34122	30986	30998	30850	31397	31234	47066	47487	48388	48917	52636	47513	91567	84426	79704	86206	80500	78149	18375	21023	16129	16069	14636	14752
3.648611	68208	57433	60249	63326	55721	56185	16117	16417	16265	15947	15932	15699	15497	15989	16138	15796	16431	16304	16068	16453	16068	15709	15705	15878	15397	17002	15694	16277	16126	16133	16379	15804	16057	16062	15808	15642	15867	16435	16845	16407	16305	16663	16741	16537	16805	16731	16649	16365	17664	17874	18439	18040	18304	18346	23081	22659	23143	23003	22856	22856	33572	30719	31015	31069	30773	31456	47570	47453	48972	48649	52109	47907	91380	84698	79611	86785	80080	77882	18909	20393	15702	16050	14705	15277
3.668333	68447	58791	61085	62864	55769	56759	16255	15707	15742	15939	16126	15835	15260	16303	15630	15860	16418	16223	16241	16398	16207	16068	15968	15964	15797	17032	16052	16263	16539	16003	16254	15777	15875	16244	16112	15728	16071	16335	16623	16279	16066	16535	17419	16652	16635	16792	16559	16055	18115	18593	18578	17983	18304	18588	22606	22675	23327	22632	22702	23002	33546	30914	30754	31038	31211	31092	47634	47539	48719	48547	52026	48089	92677	84295	79322	85649	80375	78071	19293	20452	16004	15941	14819	15178
3.688056	70350	59369	60506	62415	58244	56949	16108	16123	15928	16166	16082	15767	15163	15886	15637	16085	16236	16170	16095	16182	16239	16170	15896	16126	15652	17274	16264	16243	16109	16318	16166	15905	16043	15719	15693	15750	15535	16140	16348	16156	16165	16642	17525	16674	16823	16487	16570	16545	17869	17864	18121	18123	18290	18629	23144	23267	22767	23128	23265	23156	33188	31444	30822	31106	31593	30953	47617	47383	48090	48507	52247	48413	92850	84622	79004	86434	79719	77750	18679	20401	15796	15938	14586	15139
3.707778	69753	57887	60304	64899	58050	58475	15969	16027	15752	16049	16291	15746	15591	15582	15618	16157	15979	15935	16212	16021	16028	15695	15974	15774	15584	17061	16274	16476	16193	16334	15963	16253	16288	16159	15945	15618	15830	16168	16726	16211	15965	16624	17204	16918	17170	16778	16830	16548	17913	18325	18352	18347	18208	18571	22831	23151	23113	23124	22778	23018	33546	31558	30656	31725	31808	31619	47161	47074	48680	48141	52484	47821	93805	83509	79004	85768	79950	78086	18892	21101	16132	15957	14364	14909
3.727500	71221	59177	60210	63343	57964	57885	16087	16489	15798	15842	16391	15678	15416	15923	15939	16089	16101	16450	15818	16395	16155	16076	15704	15822	15600	17104	15710	16906	16119	16070	16352	16303	15931	16385	15750	15458	16179	16305	16946	16456	16348	16234	17141	16797	16736	16735	16405	15772	18112	18537	17941	17989	18320	18373	23018	23050	23109	23256	23252	22962	33426	31364	30215	30701	31396	31192	46755	47757	48489	48629	51948	47569	94325	85260	79685	86001	80194	77923	19290	20432	16256	16056	14658	15140
3.747222	70100	58733	60480	64095	58671	57415	15823	16072	16034	16242	16140	15943	15521	15995	16130	16217	16424	16397	15980	16038	16417	15688	15920	15728	15394	16933	16126	16088	15977	16485	15905	16388	16184	16152	15934	16022	15908	16477	16457	16051	16060	16129	17271	16595	16632	16556	16538	16358	18317	18148	18338	18040	18359	18250	22896	22975	23391	23192	22938	23176	34149	31015	30618	31011	31311	31470	47944	47560	48889	48260	52443	47701	94786	85118	79470	85136	80233	78230	19378	20733	16148	16230	14876	14831
3.766944	69793	58877	59910	62775	58632	57641	16211	16105	16219	15738	15987	15760	15565	15953	15760	15996	16488	16023	15941	16561	16067	15630	15703	15809	15288	17229	16282	16250	16272	16220	16212	16373	15989	15975	16126	15507	15608	16540	16512	16271	15812	16244	16798	16510	16629	16715	16738	16422	17803	18202	18338	17980	18418	18044	22846	22990	22937	23218	23445	23140	33612	31072	31181	30622	31319	30978	47620	47228	48684	48904	52757	48573	92554	85137	79783	86215	79662	78365	18924	20833	16318	15919	14677	14994
3.786667	72426	58410	61280	64179	59947	57417	16416	16063	15813	15948	16110	15673	15185	15905	15423	16195	16449	16129	16276	16209	16044	15764	15959	15945	15589	17269	16032	16290	16383	16118	16364	16266	16196	15935	16116	15379	15588	16653	16824	16213	16055	16390	17131	16750	17028	16347	16500	16090	18171	18340	18497	18068	18267	18551	23108	23285	23174	23290	22757	23176	34129	30773	30442	31475	31415	31512	48057	47510	48978	48503	52129	48142	93894	85091	80016	85604	80095	78684	19272	20656	16043	15958	14485	15039
3.806389	69364	57028	60337	65398	59310	58199	16253	15767	16053	15580	16058	15809	15352	15774	15739	15994	16607	15822	16013	16147	15539	16018	15669	15818	15722	16794	16307	16456	16333	16026	16369	16084	15812	15955	15628	15442	15608	16535	16252	16316	16125	16700	16639	16546	16787	16552	16517	16527	18086	18372	18567	18113	18089	18682	23283	23031	22684	23411	23252	22684	33572	30854	31212	31298	31089	30828	47753	47429	48551	48598	51774	47912	92684	84380	79171	84975	79325	78951	19780	20817	16278	16031	14764	15351
3.826111	70527	59958	62030	65726	59950	57442	16327	16030	15890	16045	16336	15440	15537	15870	15442	16213	16027	16358	16087	16355	16498	15928	15730	15814	15572	16862	16275	16201	16639	16277	16067	16343	15722	15964	16048	15668	15957	16388	16746	16399	16392	16658	17194	16761	16725	16427	16962	16646	18071	18250	18477	18080	18330	18599	22946	22940	23250	22733	22756	22854	34382	31231	31082	31389	30935	30893	47124	47720	48886	48601	52658	48087	94535	85039	78535	85451	80285	78605	19381	20606	15894	15915	14751	14682
3.845833	72330	59321	61226	65604	60011	57939	15636	16386	15897	15843	16369	15697	15448	15913	15776	16053	16174	16052	16064	16122	15933	15806	15905	16121	15728	16369	15848	16292	16530	16025	15928	16043	16196	16113	15863	15749	15963	16378	16499	16405	16127	16351	16654	16875	16718	16334	16592	16305	18024	17855	18384	17925	18012	18251	23207	23406	23197	23343	23086	23177	34136	31109	30787	31179	31108	31349	48151	47176	49239	48671	53327	47721	93525	85279	79957	84840	79294	78389	19478	20679	16035	16101	14810	14989
3.865556	72718	60119	61982	65017	61108	58260	15939	16493	15921	15895	16251	15943	15516	15762	15472	16345	16116	16522	15973	15812	16075	15892	15987	15728	15422	16999	15984	16328	16322	16003	16272	16388	16023	15992	15966	15752	15583	16444	16854	16166	16008	16146	16823	16670	16992	16199	16873	16499	17963	18371	19017	18074	18457	18571	22965	23018	23489	22667	22707	23062	34171	31564	31424	30786	31174	30433	47435	46887	49137	48472	53321	48319	92650	85652	79985	86024	80584	78930	20061	20582	16562	16085	14782	14923
3.885278	71907	59332	62525	67089	60606	58251	16147	16336	15996	16067	15874	15690	15376	15832	15686	16449	16132	15970	16185	16123	15861	15949	15887	15713	15675	16984	16153	16278	16240	15531	16313	16415	15733	15878	16008	15346	15683	16189	16888	16045	16189	16513	17148	16938	16601	16768	16799	16360	18081	18126	18147	18364	18118	18816	23440	22910	23119	23220	23046	22987	34346	31312	31348	30947	30829	30822	48256	47555	49091	48505	53061	47884	94327	84415	80264	86298	79966	79148	19943	20778	16058	15859	14398	14958
3.905000	71588	60214	62831	64886	60498	57607	15950	15836	16114	16023	16068	15515	15663	15870	15907	16253	16455	15997	15903	16004	16093	15729	15843	15560	15619	17069	15958	16235	16502	15974	16180	16169	15767	16053	16101	15596	15609	16473	16547	16316	15940	16548	17251	16796	16492	16931	16662	16730	17979	18252	18289	18320	18260	18085	23517	23127	22922	23142	22955	22669	34021	31206	31514	31338	31336	31474	47874	47138	48967	48890	52534	48687	94135	84757	79807	86695	80318	78100	19380	20901	16220	15697	14357	15115
3.924722	70502	58825	65547	66312	62393	58424	16230	16006	15873	16183	15900	15798	16034	16374	15452	16104	16225	16307	16271	16135	15603	15875	15715	15413	15737	17020	16115	16652	16442	16192	16148	15999	16021	15877	16194	15630	15953	16741	16621	16280	15900	16400	16713	16753	16887	16473	16671	16439	18317	18345	18340	18436	18209	18483	23063	23022	23354	23303	23111	23004	33839	31174	30721	31407	31365	30802	48229	47750	48416	48945	52888	48157	96195	85107	78796	85838	79580	78137	20039	21297	16119	15795	14654	15398
3.944444	71743	60517	63751	65292	60507	58743	16109	16010	15690	15706	16246	15861	15526	16212	16070	16120	16203	16166	16322	16018	16011	16076	15797	15566	15643	16965	16263	16762	16346	16036	16320	16261	15525	16082	15528	15346	15818	16511	16841	16334	15982	16296	16888	16977	16734	16220	16149	16743	18011	18040	18491	18453	18462	18302	22978	22914	22868	23643	22981	23176	33717	31105	31553	30600	31290	31875	48796	46884	48681	48678	53695	48012	95183	85417	80398	86140	80291	78440	20085	20767	16478	16064	14840	14722
3.964167	71623	59758	62050	66654	61928	58485	16112	16308	15836	15829	15975	15785	15431	16316	16032	16187	16643	16192	15956	16378	15550	15718	15939	15877	15586	16579	16102	16258	16049	16382	16059	16506	15663	16158	15961	15256	15499	16473	16588	16167	15989	15958	16800	16386	16874	16550	16541	16378	17911	18803	18368	18361	17975	18503	23567	22850	23203	23483	22797	22721	34599	31471	30923	30634	31816	31019	47755	47704	49061	49184	53252	48328	94310	85975	79997	85651	80424	79427	20597	20724	16370	15952	14802	15202
3.983889	72770	60387	63640	66538	60544	59046	16119	16126	16017	16207	16599	15850	15555	16082	15792	16226	16254	15832	16131	15879	15957	15821	15483	15636	15090	17011	16238	16840	16210	15850	16477	16216	16106	16557	15883	15590	15618	16456	16403	16309	16220	16277	16889	16534	16910	16459	16335	16529	17851	18265	18437	18679	18461	18793	23067	22812	23489	23275	23170	22986	34683	31554	31057	30723	31012	31373	48636	48024	48382	48795	53252	48499	94205	84856	79769	86114	80766	78698	20231	21533	16725	16237	14774	15143
4.003611	72521	61272	62368	65984	61648	57395	15998	16004	16026	15752	16308	15303	15431	15796	15632	16256	16480	16215	15895	15859	16198	15424	15765	15800	15565	16902	16018	16590	16116	16258	16345	16204	15988	15475	15781	15679	15697	16651	16519	16336	16362	16503	17121	16691	16822	16545	16152	16372	17954	17847	18569	18398	18275	18740	23399	23031	23373	23704	23217	23380	34315	31775	31268	31795	30973	30883	47947	47838	49475	49421	53391	48619	94076	85449	80503	86619	79809	78543	20509	20791	16752	16212	14695	15274
4.023333	71362	61402	62564	67807	61501	57615	16100	15930	16008	16087	16321	15474	15478	16016	16010	16295	16289	16400	16161	16308	16150	15775	16096	15895	15592	17130	16093	16602	16257	16249	16261	16270	15851	15812	15789	15746	15787	16291	17069	15787	16152	16624	17389	17011	17064	16901	16785	16908	18033	18142	18271	17986	18501	18176	23025	23383	23178	23363	22847	23154	34284	31584	31576	31171	31430	31215	48010	47593	48846	48052	52059	48106	95812	84581	79743	86127	81442	79392	20830	21033	16288	15819	14609	15033
4.043056	72414	60771	63611	67760	63182	58750	16406	16226	15793	15993	16151	15975	15962	16244	15954	16025	16371	16170	15871	16195	16198	15685	16130	15593	15302	17211	16153	16129	16282	16409	16267	16048	16043	16155	15510	15617	15489	16359	16350	16227	16417	16100	16952	16466	16715	16749	16349	16543	18308	18299	18106	18218	18290	18494	23255	23018	23411	23337	23297	23787	34434	31705	31238	30693	31623	30796	48450	48347	49660	48328	53083	48375	95340	84989	80218	86518	80292	79019	20815	21282	16352	15952	14556	14785
4.062778	72449	60024	63032	66728	62381	58517	15881	16504	15536	16155	16013	15521	15628	15960	15818	16105	16168	16045	15925	16256	16087	15709	15874	15600	15772	16849	15891	16602	16437	16097	16125	16041	16311	16195	15908	15716	15812	16180	16294	16199	15997	16209	16849	16888	16894	16769	16506	16505	18176	18372	18542	18529	18286	18353	23345	23381	23554	23480	22828	23309	34018	30967	31439	31345	30943	31509	48314	47977	49196	49259	53003	48218	96213	85650	80255	86204	80610	79085	20506	21032	16718	15869	14610	15108
4.082500	73335	61797	63904	67869	62418	57711	16157	16327	16214	15740	16136	15748	15607	15995	15543	16282	16757	16520	16172	16076	16181	15743	15875	15640	15535	17025	16277	16306	16020	16102	16061	16662	15849	15805	15934	15856	15839	16463	16843	15907	16483	16479	17026	16856	17532	16713	16401	16563	18126	18262	18354	18239	17838	18498	23563	23390	23691	23185	22838	23164	34426	31779	30683	31043	31175	30991	48134	48055	48451	48769	53048	48022	95845	84708	79774	86499	81293	78603	20772	21337	16861	16086	14199	14958
4.102222	73462	61738	64683	68949	63602	59191	16192	16712	15572	15632	16119	15663	15116	15777	15534	16400	16674	16428	15991	16093	15765	16060	15876	15998	15516	17316	16209	16788	16400	15908	16510	16467	16302	15862	15934	15685	15543	16482	16375	16433	16206	16348	16824	16855	17129	16298	16622	16261	18014	18379	18001	18232	17963	18571	23412	22930	23387	23028	23416	23054	34430	31414	31263	31655	31371	31299	47934	47655	49754	48887	53359	48167	94723	86215	80791	86613	81102	78142	20845	21183	17261	15872	14210	15286
4.121944	72883	63014	65906	66628	62100	58498	16278	15967	15932	15774	16141	15549	15423	15998	15950	16049	16318	16351	15757	16257	15817	15865	15528	15781	15681	16818	16356	16793	16326	16183	16359	16613	15997	15665	15909	15849	15766	16627	16553	16158	16277	16328	16774	17089	16595	16822	16688	16508	18037	18476	18932	18145	18310	18621	23280	23510	23367	23340	23034	23375	34731	32110	31051	31095	31729	31659	48197	47890	49210	49744	52551	47422	94295	85238	80188	85959	80517	78399	21679	21554	16807	15840	14465	14558
4.141667	73569	62665	63551	67739	63742	58697	16198	16126	16110	15875	16155	15849	15422	15998	16185	16318	16631	15831	16201	15930	16113	15913	15572	15667	15157	16772	16377	16007	16442	16408	16406	16315	16302	15961	15953	15681	15718	16292	16878	16084	15733	16245	17392	16955	16944	16671	16510	16346	17968	18619	18330	17898	18134	18545	23659	22807	22993	23008	22942	23203	34997	31382	31378	31269	31717	31309	48568	47867	49847	49243	53545	49104	97152	85275	80008	87415	79982	78189	21369	21709	16986	16502	14621	15134
4.161389	73738	60965	64031	69128	63478	58263	16488	16166	15747	15902	15869	15634	15505	16039	15530	16098	16504	16094	16203	16236	15998	15794	15563	15653	15398	16998	16175	16171	16327	16122	16160	16405	15811	15710	15643	15332	15620	16137	16448	16095	15775	16342	17075	16794	17205	16530	16725	16429	18208	18471	18426	17792	18170	18899	23270	23471	23771	23069	23094	23293	34606	30872	31217	31137	31316	31329	47964	47681	49643	49604	53428	48484	97443	86572	80211	86484	80231	79157	21302	21334	17091	15402	14329	14937
4.181111	73629	62504	64490	67226	63994	58286	16090	16363	16041	15956	15919	15723	15505	15615	15813	16123	16596	16553	16138	16349	15770	15626	16205	15766	15485	17296	16358	16519	16085	16222	16000	16560	15876	15384	15935	15839	15786	16429	16543	16094	16252	16398	17041	16954	17341	16626	16300	16205	18092	18534	18472	18018	18314	18669	23523	23257	23395	22812	22847	23026	33908	31812	31325	31287	31651	31204	48656	47770	49623	49335	52662	48988	95211	84986	79544	86269	80619	79610	21840	21659	17068	15520	14353	15044
4.200833	74006	61251	66351	69051	64690	58644	16263	16534	16066	15763	16067	15967	15188	15943	15715	16215	16364	16101	16204	15994	15809	15796	15525	15699	15184	17093	15966	16270	16150	16179	16119	16367	16010	16052	15862	15601	15520	16487	16367	16334	16067	16492	17120	16823	17610	16551	16566	16645	17934	18100	18629	18199	18386	18810	23578	23370	23089	23610	23183	23062	34651	31243	31199	31630	31449	31031	47956	47130	49149	49617	52557	49141	94656	85696	80243	86986	80870	79597	22177	21422	17463	16621	14716	14905
4.220556	75113	63071	66260	68945	63396	58454	15845	16105	16018	15585	16056	15524	15280	16230	16138	15741	16508	16004	16169	16380	15888	15916	15742	15391	15356	16843	15962	16250	16220	15985	16310	16338	16058	15771	15810	15728	15316	16195	16710	16235	15641	16374	16876	16864	17075	16670	16444	16661	18208	17982	18685	18386	18625	18861	23446	23380	23049	23448	22912	23269	34887	31680	31416	31756	31013	31175	48400	47820	49483	49232	52761	48041	96415	86069	79811	86341	81750	78680	22301	21887	17030	16109	14499	14597
4.240278	73299	63464	64231	67436	61705	58086	16067	15864	15820	16124	15823	15439	15227	15759	15631	16203	16425	16101	16120	16090	15806	15598	15907	15763	15156	16953	15890	16091	16136	16112	16569	16216	16040	16003	15461	15556	15810	16112	16667	15841	16124	16696	16960	16990	17147	16790	16814	16732	18081	18334	18387	18117	18244	18507	23107	23403	23461	23295	23882	23338	35304	31381	31341	31261	32059	31568	48101	47771	49762	49398	52902	48532	96612	85263	80433	86379	80705	79309	22464	21556	17232	16197	14768	15177
4.260000	74812	61469	67081	69223	64590	59647	15831	16218	15703	15628	16330	15460	15295	16108	15709	16019	16450	16498	16139	15878	15591	15954	15801	15386	15772	17093	15816	16676	15874	16285	16499	16006	16130	16261	15756	15682	15787	16463	17067	16042	15988	16061	16940	17087	17242	16678	16475	15866	18059	18315	18533	18272	18177	18718	23606	23184	23337	23269	23062	23132	35022	31584	31484	31322	31034	31461	48162	48483	49048	49613	53212	49279	95212	86455	80172	87026	80695	79168	22330	21811	17111	16454	14434	14964
4.279722	75597	62392	67250	68133	63938	59025	16374	16118	15893	15891	15763	15599	15389	15939	15744	16421	16237	16280	15858	16238	15977	16090	16087	15961	15417	16937	16025	16615	16204	16541	16219	15938	16006	15622	15927	15639	15658	16266	16830	15942	16119	16267	16682	17083	16762	16750	16785	16720	18176	18340	18596	18405	18437	18638	23024	23357	23413	23258	23361	23356	34547	31468	32087	31143	31430	31586	49204	48205	49449	49382	53141	48956	96394	85622	79923	86042	80579	78758	22574	21350	17226	15871	14591	15056
4.299444	76089	63862	63716	67947	65130	58757	16409	16523	15922	16118	15640	15482	15453	15952	15955	16019	16142	16470	15636	16170	15959	15817	15745	15752	15347	16569	16230	16162	15901	16326	16194	16513	15790	15846	16075	15503	15872	16309	16420	16188	16045	16628	16832	17419	17114	16875	16151	16652	18027	18110	18484	18194	18452	19018	23815	23535	23369	23489	23366	22679	34664	32101	31286	31407	31786	30812	48343	48191	49550	49634	53327	48593	96534	85687	80308	88160	81054	78841	22806	21679	17455	16049	14507	14920
4.319167	76229	63910	66070	70709	65534	59322	16381	16184	15916	15931	16032	16137	15262	15904	15791	16103	16189	16316	16019	16190	15695	15677	15780	15937	15394	17194	15990	15971	16204	16098	15919	16514	15656	16055	15490	15576	15340	16017	16765	15862	16093	15985	16883	16927	17029	16625	16324	16515	18363	18344	18722	18345	17894	18634	23465	23118	23127	23189	23294	23315	34825	31328	31886	31505	31700	31676	48927	47884	49609	49526	52580	48567	96139	85418	80486	86582	81562	79457	23336	21958	17872	16515	14515	14901
4.338889	74532	62105	67008	67877	65669	59314	16191	16303	16143	15499	16145	15590	15317	15741	16131	15776	16305	16120	15834	16129	15889	15458	15737	15588	15788	16775	15875	16269	16142	16334	15669	16308	16165	15840	15542	15716	15528	16423	17042	16385	16098	16184	17146	17164	17286	16686	17017	16289	17981	18414	18531	18229	18412	18816	23550	23387	23125	23030	23175	23568	35115	31476	31060	31697	31345	31544	48342	48208	49842	49392	53479	48809	95676	85734	80102	87244	80596	79098	23379	22047	17634	16460	14497	14967
4.358611	76025	63929	68004	70710	65001	58556	16196	16127	15909	15952	16340	15507	15565	15979	15659	16277	16578	16355	16087	15610	15744	15906	15843	15774	15317	16725	16209	16222	16260	15848	16359	15953	15956	16051	15864	15587	15927	16401	16433	16381	16243	16584	16617	16886	17085	16631	16686	16302	18658	18249	18427	18153	18316	18593	23629	23272	23244	23449	22884	23028	35293	32063	31575	31481	31793	31110	48010	48291	49641	49344	53754	48294	95386	86430	80916	87468	80420	78957	23467	22434	17487	16810	14510	14993
4.378333	74034	63537	66094	67666	65609	59073	16227	16175	15933	15941	16133	15595	15166	15978	15665	16172	16196	16322	16147	16126	15564	15783	15878	15782	15706	17315	16274	16434	16428	16157	16136	16439	16114	15952	15736	15815	15929	16572	16349	16295	15988	16063	16747	16697	16634	16960	16745	16142	18070	18069	18643	18064	18363	18489	23361	23311	23656	23469	23986	23356	34816	31418	31316	31017	31390	31470	47908	48339	49088	49016	53011	48630	98106	85965	80007	87147	81017	78480	23623	22079	17486	16225	14339	15114
4.398056	75827	61941	67994	68905	65800	60233	16195	16091	15924	16117	16214	15295	15231	15959	15978	16245	16158	15980	15826	15749	15500	15744	15882	16108	15535	17066	16193	16354	15773	16303	16627	16018	16020	16423	15817	15502	15746	16785	16626	16336	16293	16247	16832	17487	16951	16635	16630	16278	18585	18333	18370	18272	18325	18564	23848	23217	23332	23808	23272	23123	34957	31477	31212	30823	31713	31263	48262	47825	49196	49384	52950	48987	97706	86499	80553	85998	80810	78967	24278	21934	17768	16700	14430	15137
4.417778	76430	64003	66352	70532	65552	58327	16359	15915	15733	15765	16050	15903	15509	16063	15877	16592	16333	16560	15770	16171	16144	15856	15849	15930	15683	17408	16032	16094	16126	16103	16028	15742	16032	16014	15910	15801	15464	16429	16324	16039	16351	16329	17103	17549	16913	16476	16594	16475	18120	18131	18245	18580	18499	18596	23369	22847	23796	23424	23131	23139	35049	32065	31047	31556	31898	31635	48181	49075	49405	50069	53885	48500	96856	86633	80479	86652	80823	79670	23908	22362	17563	16424	14344	14933
