Time	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12
0.873611	10808	11547	11342	12411	12701	13837	13267	13447	14163	12993	7990	9839	10678	11418	11977	11977	14164	13071	14049	13416	13207	8549	10957	10809	11268	12583	13400	12893	13031	13084	13180	11657	7686	9688	10789	11827	12581	11335	12853	13330	11990	12760	12102	7862	9597	10389	12032	12433	13097	13297	12964	11958	13327	11921	7600
0.925000	10752	11688	11498	12246	12724	14361	13470	14049	14176	13167	7907	9780	10379	11476	12153	11713	14199	13037	13445	13711	13547	8871	10851	10910	11584	12420	13526	13809	13507	13212	12958	11953	7623	9639	10879	12040	12140	11352	13019	13992	12372	12966	12728	7763	9672	10480	11905	12523	12967	13599	12987	12275	13570	12027	7534
0.976389	10826	11475	11249	12599	12807	14513	13753	13834	14120	12899	7935	10068	10575	11658	12410	12067	14499	13543	14080	13639	13172	8861	10779	11079	11626	12882	13887	14091	14069	13732	13013	11771	7790	9657	10874	11745	12457	11312	13109	13688	12157	13188	12987	7735	9579	10375	11944	12489	12916	13489	13232	12501	13784	12349	7592
1.027778	11031	11600	11271	13090	13020	14933	13428	14315	14756	13397	7893	9711	10644	11690	12334	12320	14643	13223	14464	14685	13848	8795	10755	11127	11821	12948	13754	14379	14384	13756	13668	11982	7779	9882	11154	12032	12467	11364	13311	14461	12517	13357	13191	7635	9609	10017	11690	12652	13081	13453	13069	12838	13842	12557	7696
1.079167	10900	11536	11226	12967	13478	14397	13996	14570	14183	13773	7942	9622	10677	11760	12656	12339	15090	14878	14539	13630	12727	8740	10879	11046	11814	12854	14376	14451	14220	13893	13882	12373	7759	9983	10919	11694	12711	11570	13017	14976	12811	13850	13280	7615	9496	10509	11630	12382	13041	13995	13230	12392	14396	12798	7628
1.130556	10877	11618	11454	12886	13197	15119	14382	14009	14655	13237	7996	10028	10684	11830	12776	12117	15218	15200	14711	14806	14092	8768	10785	10997	11755	13533	14415	14828	14437	13573	13568	12421	7845	9800	11001	11940	12596	11332	13651	15348	12708	13529	13340	7858	9461	10298	11779	12876	13212	14353	13689	12808	13929	13335	7713
1.181944	10754	11610	11580	12881	13762	15100	14000	13925	14843	13226	8251	9847	10719	11786	12918	12100	15134	15263	15057	15343	12943	8805	10911	11195	11855	13344	14533	15123	14684	13793	12950	12313	8026	10017	11118	11922	12664	11593	13364	15743	13451	13984	13163	7685	9460	10164	12365	12793	13439	14247	13795	13406	14121	13360	7398
1.233333	11028	11701	11412	13386	13328	15385	14387	14365	14587	13316	8257	9902	10600	11966	13070	12143	15110	14996	15102	14622	13594	8832	10731	11070	11657	13503	14667	14903	15129	13644	13718	12620	7998	9787	11134	11919	12267	11621	13840	15234	13217	14148	13606	7823	9804	10526	12621	12698	13371	14238	13596	12655	13895	12773	7530
1.284722	10990	11599	11803	13770	13543	15530	14388	14168	15295	13912	8187	9705	10558	12039	13452	12699	15278	15340	15390	14345	14437	9079	10912	10924	11970	13776	14960	15242	15268	14200	13787	13209	8106	9606	11075	12407	12703	11516	13696	15320	13256	14799	13724	7752	9646	10281	12193	12899	13397	14708	14087	13646	14994	13799	7667
1.336111	10940	11759	11713	14278	13587	16048	14709	14034	14988	13802	8381	9774	10781	11747	13428	12505	15917	16132	15122	15548	14277	8884	10885	11037	12181	13727	15176	15052	15449	15066	14694	13355	8109	9837	11145	12456	13107	11474	13463	15935	13847	15050	13962	7880	9610	10156	12226	12802	13589	14708	13830	14330	14260	13932	7811
1.387500	10870	11875	11556	13620	13655	15950	15380	14407	14527	13818	8391	10046	10679	11964	13657	12614	15800	16540	14793	14349	14219	8952	10816	11067	12235	14184	15510	15394	15436	15262	13817	13130	8286	9727	11225	12345	13485	11162	13597	16054	13604	15274	13881	7909	9716	10592	12622	13372	13357	14920	14407	14584	13986	13235	7771
1.438889	10716	11597	11881	14177	13486	16184	15972	14296	14658	13645	8401	9761	10668	12183	13985	12727	16590	16158	15019	15665	14544	9126	10797	11371	12168	14555	15772	15206	15089	15038	14366	12742	8366	10037	11354	12332	14017	11702	13855	16233	13600	15676	14104	7813	9498	10486	12349	13447	13683	15118	14093	14954	13608	13511	7858
1.490278	10822	11981	11671	14167	13531	15787	15928	14671	14260	13770	8530	9689	10718	12376	14296	12417	16268	16264	15775	14890	14530	9110	10952	11279	12273	14453	15493	15285	15502	15016	14195	12977	8270	9815	11247	11827	13683	11645	13294	16032	13732	15620	13885	7926	9547	10563	12445	13269	13916	15315	14214	14469	14139	13221	7759
1.541667	10963	12070	11533	14425	13697	16141	16149	14686	15606	13976	8183	9738	10714	11869	14125	12907	16048	16158	16012	15444	15511	9098	10863	11231	12438	14434	15464	15668	15520	15110	14454	13943	8235	9948	11182	12075	13845	11731	14018	15924	13678	15825	14419	7993	9668	10383	12531	13452	13726	14988	13888	14793	14645	13244	7968
1.593056	10812	11722	11666	14789	13537	16556	16187	14993	15395	14148	8436	9888	11162	12060	13991	12237	16242	16624	15696	15711	14893	9021	10849	11252	12602	14445	15833	15926	15636	15067	14360	13678	8257	9870	11192	11917	13942	11313	13670	16127	13676	15851	14258	7858	9634	10312	12552	13458	13863	15228	14644	14752	14626	13522	7575
1.644444	10861	11699	11482	14990	13213	16349	15765	14685	15907	14542	8514	9471	10514	12244	14209	12409	16355	16563	15808	15658	15379	9164	10979	11226	12500	14189	15730	15362	15871	15174	14653	13430	8302	9951	11135	12027	13903	11907	14123	16488	14003	16117	14664	7909	9651	10359	12451	13615	13972	15271	13833	14448	14439	13857	7859
1.695833	10917	11936	11516	14744	13413	17159	15862	14945	15982	14296	8567	9863	10484	12222	14264	12536	16095	15994	15797	14906	14258	9120	10753	11260	12480	14157	15634	15912	15733	15577	15547	13798	8402	9695	11309	12109	14088	11814	14069	16242	13943	16098	14576	8137	9601	10425	12537	13495	14150	15491	14391	15279	14143	13317	7840
1.747222	11001	11889	11758	14877	13254	15948	16762	14962	14494	14531	8292	9727	10628	12248	14341	12516	15995	16176	16085	16024	15396	9259	10835	11184	12615	14658	16197	15907	16390	15732	14231	13395	8319	9884	11311	12300	13983	11560	14686	16896	13898	16475	14640	7776	9575	10429	12644	13764	14145	15050	13996	15075	13910	13459	7853
1.798611	11013	11896	11841	15404	14027	16312	16430	15073	15498	14565	8567	9784	10459	11881	14103	12801	16009	16699	16235	15506	15056	9116	10977	11128	12584	15032	16077	15794	16436	15418	14483	13873	8347	9980	11363	12309	14309	11588	14283	16625	13890	16597	14521	7893	9506	10589	12563	13529	14120	15278	14316	14860	14447	13880	7837
1.850000	10919	12039	11536	15428	14022	16897	16448	14556	15359	13766	8569	9789	10593	12206	14703	12947	16440	17204	15825	15840	15060	9355	10977	11249	12633	14825	15698	15834	15989	15457	15992	13806	8633	9805	11358	12350	14238	11379	14089	16513	14089	16304	14813	8148	9499	10601	12664	13830	14037	15756	14225	15570	14187	13331	7969
1.901389	11048	11854	11713	15880	13945	16589	16712	14413	16012	13730	8643	9705	10818	12181	14351	12472	16063	16489	16264	16334	15541	9321	11031	11518	12634	15036	15692	16102	16191	15704	14743	13860	8524	10029	11311	12161	14081	11915	14448	17042	13858	15783	14887	8007	9651	10624	12528	14095	14188	15702	14564	15968	14329	13438	7966
1.952778	10832	11835	11908	15537	14078	16983	16449	14445	16246	14287	8601	9656	10774	12262	14950	12693	16696	17081	16030	16038	15524	9357	10916	11104	12798	14932	15148	15959	16443	15818	15085	14041	8436	9896	11507	12325	14029	11708	14180	16556	13819	17096	14861	7973	9561	10675	12576	14042	14303	15511	15158	15493	14289	13584	7852
2.004167	10773	12067	11831	15702	13618	17281	16318	14931	15838	13397	8457	9526	10582	12385	14863	12930	16440	16712	16110	16623	15335	9505	10871	11339	12920	15315	15933	16080	16044	16090	14571	14026	8429	9929	11459	12468	14609	11849	14966	16848	14183	15593	14359	8338	9794	10455	12845	14128	14483	15661	14854	15943	14380	13564	7844
2.055556	11208	12152	11938	15881	14631	17075	16983	14914	16110	14586	8513	9748	10769	12289	14783	12622	16663	17337	15857	15951	15589	9362	10769	11198	12800	15586	15845	16179	17149	16204	15961	14645	8367	9886	11528	12518	14703	12233	14346	16983	14262	15769	14834	8132	9579	10334	12507	14358	14256	15501	14771	16018	14535	14613	7927
2.106944	10932	12043	11835	15800	14061	16909	17216	15094	15781	14948	8760	9548	10662	12127	15008	12585	16795	16921	16824	16331	15399	9460	10901	11207	12747	15242	16110	16008	17164	15686	14762	14195	8614	9935	11327	12722	14455	11904	14638	17351	13941	16574	15038	8154	9472	10256	12525	14219	14455	16230	14966	16032	14768	14845	8084
2.158333	10942	12105	11999	15689	13869	16950	16576	15003	16061	14459	8717	9690	10804	12416	14873	12350	16609	17095	15571	16434	14816	9505	11029	11266	12773	15270	16312	16042	16211	15921	14740	14320	8457	9759	11371	12436	14608	11618	14836	16950	14146	16524	14809	8111	9648	10627	12693	14430	14347	15958	14962	16430	14704	14749	7996
2.209722	10898	12230	12120	15777	14197	17395	16752	14717	16299	14343	8621	9659	10633	12191	15243	12877	17199	17019	16375	16494	15902	9241	10932	11253	12770	15480	16513	16278	15991	16465	15345	14328	8453	9973	11449	12558	14669	11484	14774	16847	14251	16415	15314	8238	9685	10350	12917	13896	14468	15871	14877	16471	14757	14845	8025
