well,row,col,antibody,conc_uM,is_control,half_time
B2,B,2,D4,10,False,54.182080968131814
B3,B,3,D4,5,False,35.54045257651244
B4,B,4,D4,2.5,False,23.815042061733113
B5,B,5,D4,1.25,False,33.31941246682306
B6,B,6,D4,0.625,False,26.166750135216578
B7,B,7,D4,0.31,False,30.396564191700985
B8,B,8,D4,0.16,False,29.79503240580761
B9,B,9,D4,0.08,False,15.361557607724194
B10,B,10,D4,0.04,False,30.750679940613082
B11,B,11,D4,0,True,27.867997348401385
B12,B,12,D4,0,True,33.02035943258032

C2,C,2,D4,10,False,57.55776030699585
C3,C,3,D4,5,False,48.40371547720911
C4,C,4,D4,2.5,False,25.883585517083112
C5,C,5,D4,1.25,False,33.902582327493604
C6,C,6,D4,0.625,False,17.901210216217954
C7,C,7,D4,0.31,False,29.414048070052345
C8,C,8,D4,0.16,False,30.37118185724407
C9,C,9,D4,0.08,False,23.97585527209062
C10,C,10,D4,0.04,False,28.074492156971825
C11,C,11,D4,0,True,33.2925907863278
C12,C,12,D4,0,True,23.291190719004593

D2,D,2,D4,10,False,55.842154958932966
D3,D,3,D4,5,False,37.2954326144502
D4,D,4,D4,2.5,False,23.745955052383387
D5,D,5,D4,1.25,False,24.330586865917432
D6,D,6,D4,0.625,False,19.960710559646657
D7,D,7,D4,0.31,False,28.938709435060694
D8,D,8,D4,0.16,False,25.4864146968714
D9,D,9,D4,0.08,False,18.438925245067434
D10,D,10,D4,0.04,False,27.936110080755782
D11,D,11,D4,0,True,29.395967812202553
D12,D,12,D4,0,True,34.49746453662816

E2,E,2,E5,10,False,18.99236504152839
E3,E,3,E5,5,False,26.736771531268932
E4,E,4,E5,2.5,False,25.274608687536226
E5,E,5,E5,1.25,False,28.505326270012088
E6,E,6,E5,0.625,False,25.715980360760643
E7,E,7,E5,0.31,False,14.058259126877125
E8,E,8,E5,0.16,False,22.7894870728146
E9,E,9,E5,0.08,False,24.035901319623214
E10,E,10,E5,0.04,False,25.726037748037893
E11,E,11,E5,0,True,25.35052244662299
E12,E,12,E5,0,True,25.952628171793016

F2,F,2,E5,10,False,26.214670187297834
F3,F,3,E5,5,False,21.726601422230562
F4,F,4,E5,2.5,False,25.755396670085904
F5,F,5,E5,1.25,False,24.456344727535697
F6,F,6,E5,0.625,False,24.41194906548141
F7,F,7,E5,0.31,False,24.855166346297555
F8,F,8,E5,0.16,False,23.644657008020655
F9,F,9,E5,0.08,False,25.999051571082727
F10,F,10,E5,0.04,False,25.118731168303295
F11,F,11,E5,0,True,28.009923381305995
F12,F,12,E5,0,True,32.09324911529236

G2,G,2,E5,10,False,9.869019209949073
G3,G,3,E5,5,False,31.181906135731555
G4,G,4,E5,2.5,False,27.071289014145265
G5,G,5,E5,1.25,False,25.159086528370906
G6,G,6,E5,0.625,False,22.617199669035347
G7,G,7,E5,0.31,False,16.996739491838287
G8,G,8,E5,0.16,False,25.002238625446132
G9,G,9,E5,0.08,False,25.852359571329163
G10,G,10,E5,0.04,False,25.961145199784937
G11,G,11,E5,0,True,29.18262476579103
G12,G,12,E5,0,True,30.537175171738458
