Well,Aggregation,Halftime
B02,1,54.18208097
B03,1,35.54045258
B04,1,23.81504206
B05,1,33.31941247
B06,1,26.16675014
B07,1,30.39656419
B08,1,29.79503241
B09,1,15.36155761
B10,1,30.75067994
B11,1,27.86799735
B12,1,33.02035943

C02,1,57.55776031
C03,1,48.40371548
C04,1,25.88358552
C05,1,33.90258233
C06,1,17.90121022
C07,1,29.41404807
C08,1,30.37118186
C09,1,23.97585527
C10,1,28.07449216
C11,1,33.29259079
C12,1,23.29119072

D02,1,55.84215496
D03,1,37.29543261
D04,1,23.74595505
D05,1,24.33058687
D06,1,19.96071056
D07,1,28.93870944
D08,1,25.48641470
D09,1,18.43892525
D10,1,27.93611008
D11,1,29.39596781
D12,1,34.49746454

E02,0
E03,1,26.73677153
E04,1,25.27460869
E05,1,28.50532627
E06,1,25.71598036
E07,1,14.05825913
E08,1,22.78948707
E09,1,24.03590132
E10,1,25.72603775
E11,1,25.35052245
E12,1,25.95262817

F02,0
F03,1,21.72660142
F04,1,25.75539667
F05,1,24.45634473
F06,1,24.41194907
F07,1,24.85516635
F08,1,23.64465701
F09,1,25.99905157
F10,1,25.11873117
F11,1,28.00992338
F12,1,32.09324912

G02,0
G03,1,31.18190614
G04,1,27.07128901
G05,1,25.15908653
G06,1,22.61719967
G07,1,16.99673949
G08,1,25.00223863
G09,1,25.85235957
G10,1,25.96114520
G11,1,29.18262477
G12,1,30.53717517
