well,row,col,antibody,conc_uM,is_control,half_time
B3,B,3,F6,10,False,35.08930130862653
B4,B,4,F6,5,False,29.64486081616207
B5,B,5,F6,2.5,False,18.73602942216118
B6,B,6,F6,1.25,False,19.954377463726082
B7,B,7,F6,0.625,False,22.84028201467444
B8,B,8,F6,0.31,False,27.724967554286724
B9,B,9,F6,0.16,False,29.26282924387917
B10,B,10,F6,0.08,False,28.34602448920785
B11,B,11,F6,0,True,44.99078463744161
B12,B,12,F6,0,True,44.85240144961225

C3,C,3,F6,10,False,37.699112865057494
C4,C,4,F6,5,False,21.31315469200007
C5,C,5,F6,2.5,False,19.166920207553478
C6,C,6,F6,1.25,False,19.687180327110294
C7,C,7,F6,0.625,False,22.389773255103982
C8,C,8,F6,0.31,False,25.805603081177463
C9,C,9,F6,0.16,False,24.775140944241816
C10,C,10,F6,0.08,False,30.27508543032074
C11,C,11,F6,0,True,32.551096444834435
C12,C,12,F6,0,True,41.72100920303745

D3,D,3,F6,10,False,39.134158491543246
D4,D,4,F6,5,False,20.633556489397424
D5,D,5,F6,2.5,False,23.72120061216313
D6,D,6,F6,1.25,False,22.23811500443747
D7,D,7,F6,0.625,False,20.34852885654894
D8,D,8,F6,0.31,False,24.127824335151452
D9,D,9,F6,0.16,False,30.994283332286592
D10,D,10,F6,0.08,False,30.670663311225145
D11,D,11,F6,0,True,36.73778114410767
D12,D,12,F6,0,True,35.621051540414044

E3,E,3,G8,10,False,74.49355696546381
E4,E,4,G8,5,False,75.24385050522129
E5,E,5,G8,2.5,False,46.9444432509923
E6,E,6,G8,1.25,False,39.54071002814767
E7,E,7,G8,0.625,False,36.76174151190078
E8,E,8,G8,0.31,False,40.73329286913571
E9,E,9,G8,0.16,False,36.830106594749985
E10,E,10,G8,0.08,False,38.16494263857209
E11,E,11,G8,0,True,19.35629799967374
E12,E,12,G8,0,True,35.76949342470562

F3,F,3,G8,10,False,55.35497064652907
F4,F,4,G8,5,False,73.27200199006171
F5,F,5,G8,2.5,False,55.16592262960984
F6,F,6,G8,1.25,False,55.060502941610004
F7,F,7,G8,0.625,False,42.97617695608662
F8,F,8,G8,0.31,False,41.70294794249151
F9,F,9,G8,0.16,False,40.696465595254494
F10,F,10,G8,0.08,False,41.1064514606254
F11,F,11,G8,0,True,18.169303249071547
F12,F,12,G8,0,True,39.53967069525705

G2,G,2,G8,10,False,44.708193823757064
G3,G,3,G8,5,False,68.35726641655344
G4,G,4,G8,2.5,False,78.09951955562208
G5,G,5,G8,1.25,False,61.682876443485895
G6,G,6,G8,0.625,False,46.19639382889988
G7,G,7,G8,0.31,False,29.87127508037171
G8,G,8,G8,0.16,False,43.24361823790191
G9,G,9,G8,0.08,False,41.672205549061395
G10,G,10,G8,0.04,False,40.18835896339312
G11,G,11,G8,0,True,83.02930109025694
G12,G,12,G8,0,True,36.511815078100796
